Symbol,Name,결산월,회계년,주기,영업수익(천원),영업비용(천원),영업이익(천원),당기순이익(천원),총자본(천원),유형자산(천원),유동자산(천원),유동부채(천원),당좌자산(천원),현금및현금성자산(천원),단기금융상품(천원),매출채권(천원),재고자산(천원),총자산(천원),매출원가(천원),매출액(천원),판매비와관리비(천원),비유동부채(천원),영업활동으로인한현금흐름(천원),유무형자산상각비(천원)
A069730,DSR제강,12,2022,Annual,261687162.0,235319748.0,26367414.0,28926448.0,183095557.0,48004454.0,127187046.0,71887479.0,80365501.0,5241538.0,1425602.0,60296615.0,46821544.0,259398157.0,218618572.0,261687162.0,16701176.0,4415122.0,20596556.0,5147710.0
A003560,IHQ,12,2011,Annual,48299840.0,48356969.0,-57129.0,811263.0,23909550.0,665245.0,28668273.0,23972909.0,25791547.0,7816676.0,0.0,5438361.0,2876726.0,49310759.0,43715052.0,48299840.0,4641917.0,1428299.0,8643028.0,1947091.0
A003560,IHQ,12,2012,Annual,37680158.0,35632365.0,2047793.0,7966583.0,34492084.0,861902.0,21977525.0,7526484.0,21311205.0,14039317.0,0.0,1625368.0,666320.0,43873042.0,32025731.0,37680158.0,3606634.0,1854473.0,4123547.0,1383870.0
A003560,IHQ,12,2013,Annual,37577558.0,38331312.0,-753755.0,63679.0,36131885.0,2088399.0,18847349.0,19856883.0,18445103.0,5668460.0,5124675.0,3019930.0,402245.0,65404930.0,34779541.0,37577558.0,3551771.0,9416162.0,1633092.0,2934344.0
A003560,IHQ,12,2014,Annual,68578214.0,54325968.0,14252246.0,7417423.0,76075525.0,1804200.0,71045797.0,22159246.0,70935204.0,28989136.0,17500000.0,22941319.0,110593.0,101430574.0,0.0,68578214.0,54325968.0,3195803.0,41207600.0,30162922.0
A003560,IHQ,12,2015,Annual,92862614.0,82873269.0,9989345.0,5535152.0,218918559.0,3051326.0,73906192.0,28990737.0,73824520.0,32118441.0,9500000.0,24693218.0,81673.0,252266523.0,0.0,92862614.0,82873269.0,4357227.0,33206555.0,34933760.0
A003560,IHQ,12,2016,Annual,97313233.0,85648679.0,11664554.0,7168591.0,228265720.0,2136446.0,89028170.0,24067998.0,88926632.0,33287624.0,7000000.0,24173493.0,101538.0,256378419.0,0.0,97313233.0,85648679.0,4044700.0,41019057.0,35018217.0
A003560,IHQ,12,2017,Annual,118073079.0,102496853.0,15576226.0,1281996.0,233118460.0,3532979.0,97977815.0,18593063.0,97613672.0,45973910.0,26000000.0,21779853.0,364143.0,255261812.0,0.0,118073079.0,102496853.0,3550288.0,62279421.0,44738589.0
A003560,IHQ,12,2018,Annual,100747386.0,91367471.0,9379915.0,-10195179.0,209717780.0,3443356.0,75189232.0,19761221.0,74852157.0,14734525.0,14000000.0,24796093.0,337075.0,233661063.0,0.0,100747386.0,91367471.0,4182061.0,38192142.0,36973933.0
A003560,IHQ,12,2019,Annual,93504246.0,101030905.0,-7526659.0,-72018980.0,137520130.0,10326164.0,96058937.0,18276103.0,95772207.0,36868952.0,4000000.0,21824109.0,286730.0,165426813.0,0.0,93504246.0,101030905.0,9630580.0,39611208.0,46694402.0
A003560,IHQ,12,2020,Annual,79481871.0,95805544.0,-16323672.0,-19615961.0,118054743.0,6444590.0,94599768.0,15954110.0,94599768.0,21322481.0,4000000.0,16325411.0,0.0,144751482.0,0.0,79481871.0,95805544.0,10742630.0,40064826.0,44850681.0
A003560,IHQ,12,2021,Annual,58789375.0,68041288.0,-9251913.0,-6118911.0,118771542.0,23563341.0,111873581.0,112488057.0,111873581.0,6357044.0,0.0,11219687.0,0.0,232934030.0,0.0,58789375.0,68041288.0,1674431.0,17041209.0,25378264.0
A003560,IHQ,12,2022,Annual,42885615.0,70563527.0,-27677912.0,-108464161.0,61980664.0,26854014.0,14463872.0,134293839.0,14463872.0,439200.0,0.0,8521762.0,0.0,207307519.0,0.0,42885615.0,70563527.0,11033016.0,10961970.0,29435688.0
A092780,동양피스톤,12,2011,Annual,190038392.0,183225560.0,6812833.0,3709640.0,22318896.0,64060855.0,50574432.0,92326919.0,36357452.0,1874054.0,4502744.0,21832418.0,14216980.0,128186663.0,172391909.0,190038392.0,10833651.0,13540848.0,5078219.0,6337866.0
