Symbol,Name,결산월,회계년,주기,당기순이익률(%),매출총이익률(%),영업이익률(%),자본금영업이익률(%),자본금세전계속사업이익률(%),*영업수익/영업비용(%),ROE(세전계속사업이익)(%),자본금지배주주순이익률(%),매출액증가율(전년동기)(%),총자본증가율(전년동기)(%),유형자산증가율(전년동기)(%),영업이익증가율(전년동기)(%),당기순이익증가율(전년동기)(%),유형자산구성비율(%),무형자산구성비율(%),*판관비율(%),타인자본비율(%),부채비율(%),현금및현금성자산구성비율(%),총자산회전율(회),총부채회전율(회),총자본회전율(회),자본금회전율(회),현금흐름/총부채(%),현금흐름/총차입부채(%),현금흐름/영업수익(%),현금흐름/총자본(%),유동비율(%),당좌비율(%),매출채권회전율,재고자산회전율,고정자산회전율,영업현금흐름/투자현금흐름(%),DSRI,GMI,AQI,SGI,DEPI,SGAI,LVGI,TATA,벤포드,분식기업
A005930,삼성전자,12,2022,Annual,18.41,37.12,14.35,"4,832.98","5,174.35",116.76,14.08,"6,097.96",8.09,16.35,12.08,-15.99,39.46,37.47,4.51,22.77,20.89,26.41,11.08,0.69,2.81,0.92,336.74,87.13,653.34,31.05,28.45,278.86,212.24,7.91,6.46,1.38,-1.97,0.81,1.09,1.01,1.08,0.01,1.03,0.73,-0.04,0,0.0
A000660,SK하이닉스,12,2011,Annual,-0.54,16.27,3.55,12.41,1.52,103.68,0.57,-1.90,-14.13,-0.41,2.92,-87.7,적전,63.23,4.11,12.71,54.31,118.89,7.22,0.60,1.10,1.32,3.50,36.15,53.16,32.8,43.21,102.48,77.91,,,,-0.84,,,,,,,,-0.14,0,0.0
A000660,SK하이닉스,12,2012,Annual,-1.56,15.86,-2.24,-7.03,-6.16,97.81,-2.26,-4.91,-2.25,23.67,6.3,적전,적지,62.13,5.27,18.09,47.77,91.48,3.53,0.57,1.11,1.15,3.14,33.33,45.96,29.96,34.57,119.64,85.66,6.23,7.55,0.79,-0.47,1.14,1.03,1.15,0.98,0.01,1.42,0.88,-0.13,0,0.0
A000660,SK하이닉스,12,2013,Annual,20.28,37.42,23.86,95.78,87.14,131.34,26.97,81.41,39.39,34.16,4.69,흑전,흑전,58.32,5.34,13.56,37.17,59.16,3.04,0.72,1.70,1.24,4.01,71.53,107.98,42.01,52.19,216.13,177.86,7.74,10.54,1.03,-1.3,0.81,0.42,1.03,1.39,0.02,0.75,0.78,-0.14,0,0.0
A000660,SK하이닉스,12,2014,Annual,24.5,44.75,29.84,141.41,139.70,142.52,32.46,116.12,20.9,38.03,16.16,51.18,46.03,52.41,4.97,14.92,32.91,49.05,1.62,0.72,2.07,1.10,4.74,92.17,175.12,44.61,49.12,179.76,153.78,6.04,12.8,1.12,-0.96,1.59,0.84,0.93,1.21,0.02,1.1,0.89,-0.03,0,0.0
A000660,SK하이닉스,12,2015,Annual,23.0,44.06,28.39,145.89,144.06,139.64,26.73,118.17,9.77,18.58,20.41,4.44,3.06,57.17,5.74,15.67,27.93,38.76,3.96,0.66,2.19,0.95,5.14,96.58,207.06,44.02,41.98,201.62,161.89,5.91,10.99,1.03,-1.31,0.64,1.02,1.1,1.1,0.02,1.05,0.85,-0.13,0,0.0
A000660,SK하이닉스,12,2016,Annual,17.21,37.28,19.05,89.59,87.94,123.54,14.17,80.76,-8.51,12.32,10.68,-38.59,-31.53,58.29,5.95,18.22,25.43,34.1,1.91,0.56,2.09,0.76,4.70,89.92,181.74,43.09,32.64,236.47,187.77,5.85,8.71,0.81,-0.89,1.35,1.18,1.12,0.91,0.02,1.16,0.91,-0.07,0,0.0
A000660,SK하이닉스,12,2017,Annual,35.35,57.81,45.57,375.14,367.44,183.73,46.47,290.94,75.08,40.78,28.15,318.75,259.48,52.98,4.95,12.24,25.53,34.29,6.5,0.78,3.04,1.04,8.23,158.34,368.34,52.04,54.17,213.28,180.75,6.84,12.9,1.19,-1.23,0.98,0.64,0.8,1.75,0.02,0.67,1.0,-0.02,0,0.0
A000660,SK하이닉스,12,2018,Annual,38.42,62.47,51.54,569.87,583.46,206.34,52.91,424.87,34.33,38.53,45.26,51.91,46.02,54.91,4.21,10.93,26.4,35.87,3.69,0.74,2.85,1.00,11.06,154.69,464.78,54.32,54.46,152.66,118.72,6.81,11.45,1.13,-1.04,0.85,0.93,1.55,1.34,0.02,0.89,1.03,-0.02,1,0.0
A000660,SK하이닉스,12,2019,Annual,7.44,30.28,10.07,74.34,66.51,111.2,5.13,54.84,-33.27,2.31,14.3,-86.95,-87.07,61.23,3.94,20.2,26.53,36.12,3.53,0.42,1.58,0.57,7.38,62.29,121.64,39.37,22.42,181.58,115.07,5.1,5.55,0.57,-0.63,1.01,2.06,1.2,0.67,0.02,1.85,1.01,-0.06,1,0.0
