Symbol,Name,결산월,회계년,주기,영업이익(천원),이자비용(천원),유동자산(천원),유동부채(천원),당좌자산(천원),매출액(천원),매출채권(천원),매출원가(천원),재고자산(천원),총자본(천원),총부채(천원),유형자산(천원),총자산(천원),판매비와관리비(천원),당기순이익(천원),비유동부채(천원),영업활동으로인한현금흐름(천원),유무형자산상각비(천원),비유동자산(천원),세전계속사업이익(천원),투자활동으로인한현금흐름(천원)
A373220,LG에너지솔루션,12,2017,Annual,,,,,,,,,,,,,,,,,,,,,
A373220,LG에너지솔루션,12,2018,Annual,,,,,,,,,,,,,,,,,,,,,
A373220,LG에너지솔루션,12,2019,Annual,,,,,,,,,,,,,,,,,,,,,
A373220,LG에너지솔루션,12,2020,Annual,-475206000.0,0.0,9085706000.0,6889227000.0,6042568000.0,1461068000.0,2931150000.0,1237020000.0,3043138000.0,7565405000.0,12376390000.0,8683614000.0,19941795000.0,699254000.0,-451771000.0,5487163000.0,395360000.0,9738000.0,10856089000.0,-604854000.0,-884812000.0
A373220,LG에너지솔루션,12,2021,Annual,768470000.0,0.0,9535827000.0,9474017000.0,5640024000.0,17851906000.0,2914458000.0,13953123000.0,3895803000.0,8742373000.0,15021764000.0,11050777000.0,23764137000.0,3130313000.0,929868000.0,5547747000.0,978585000.0,149165000.0,14228310000.0,777184000.0,-2178121000.0
A373220,LG에너지솔루션,12,2022,Annual,1213719000.0,0.0,18804269000.0,11444923000.0,11808640000.0,25598609000.0,4771846000.0,21308077000.0,6995629000.0,20593762000.0,17705683000.0,15331047000.0,38299445000.0,3076813000.0,779826000.0,6260760000.0,-579807000.0,206052000.0,19495176000.0,995314000.0,-6259356000.0
A207940,삼성바이오로직스,12,2011,Annual,-12278892.0,8551.0,96980060.0,39277072.0,96980060.0,0.0,0.0,0.0,0.0,142006147.0,42341620.0,81759288.0,184347767.0,12278892.0,-7922261.0,3064548.0,23048049.0,147518.0,87367707.0,-9988836.0,-174850650.0
A207940,삼성바이오로직스,12,2012,Annual,-83437488.0,76.0,235038012.0,107530130.0,234774066.0,0.0,0.0,0.0,263945.0,456382283.0,113896302.0,284240365.0,570278585.0,83437488.0,-74388201.0,6366172.0,-85571617.0,3009327.0,335240573.0,-72321741.0,-121399963.0
A207940,삼성바이오로직스,12,2013,Annual,-146354241.0,1637523.0,132749277.0,171917097.0,116356315.0,43747005.0,43505.0,75589133.0,16392962.0,400095798.0,253329866.0,377647420.0,653425664.0,114512113.0,-140761507.0,81412770.0,-103538346.0,9595154.0,520676387.0,-140761507.0,-148735426.0
A207940,삼성바이오로직스,12,2014,Annual,-105197235.0,8199990.0,179001776.0,244225216.0,143323401.0,105399040.0,14937952.0,119354490.0,35678375.0,662114006.0,695181201.0,761294236.0,1357295208.0,91241785.0,-83939089.0,450955986.0,-163664339.0,8140576.0,1178293432.0,-83939089.0,-526469029.0
A207940,삼성바이오로직스,12,2015,Annual,-203642444.0,2650470.0,192853895.0,1911669204.0,73676555.0,91278029.0,34958506.0,114784617.0,119177340.0,2774834159.0,3185659558.0,890256137.0,5960493716.0,180135856.0,1904945917.0,1273990354.0,-265513752.0,15613509.0,5767639822.0,2488062610.0,-429481515.0
A207940,삼성바이오로직스,12,2016,Annual,-30422639.0,19254373.0,1461425176.0,2476545193.0,1297205197.0,294622021.0,66461789.0,268088358.0,164219980.0,4082379460.0,3450636647.0,1090959766.0,7533016106.0,56956302.0,-176823410.0,974091453.0,-62661298.0,6075895.0,6071590930.0,-230900983.0,-1372824476.0
A207940,삼성바이오로직스,12,2017,Annual,65979402.0,5683983.0,620995135.0,2287442106.0,411008418.0,464629334.0,18518786.0,332829273.0,209986717.0,3976450892.0,3206640270.0,1513332618.0,7183091163.0,65820659.0,-96972116.0,919198164.0,149816328.0,9495112.0,6562096028.0,-115994753.0,265185303.0
A207940,삼성바이오로직스,12,2018,Annual,55678745.0,15838589.0,1577683716.0,710529787.0,1275323000.0,535805801.0,112555870.0,390645859.0,302360715.0,4155468451.0,1824940197.0,1717720988.0,5980408648.0,89481197.0,224109195.0,1114410410.0,-33017327.0,14615384.0,4402724933.0,302975837.0,-631389919.0
A207940,삼성바이오로직스,12,2019,Annual,91742387.0,25614722.0,1356261664.0,690505243.0,903791737.0,701591860.0,0.0,509584425.0,452469927.0,4354453745.0,1557172767.0,1702792524.0,5911626512.0,100265047.0,202904099.0,866667524.0,10153615.0,9251775.0,4555364848.0,155435309.0,339641933.0
A207940,삼성바이오로직스,12,2020,Annual,292786554.0,16085622.0,1751347248.0,589300919.0,1105387152.0,1164776874.0,0.0,748700763.0,645960096.0,4598783172.0,1825417993.0,1736567289.0,6424201165.0,123289556.0,240974800.0,1236117073.0,202090027.0,9003371.0,4672853917.0,265992163.0,-418685827.0
A207940,삼성바이오로직스,12,2021,Annual,537309408.0,14707182.0,2823175325.0,1107294649.0,1810304534.0,1568006928.0,0.0,841555563.0,1012870791.0,4991102141.0,2978908646.0,2207063706.0,7970010787.0,189141957.0,393589468.0,1871613997.0,454596217.0,8793965.0,5146835462.0,561282597.0,-933489191.0
A207940,삼성바이오로직스,12,2022,Annual,983627394.0,64064346.0,6457656567.0,4181541561.0,4081837606.0,3001295198.0,0.0,1532847165.0,2375818961.0,8984474395.0,7597575863.0,3416528837.0,16582050258.0,484820638.0,798056210.0,3416034302.0,953047810.0,20947690.0,10124393691.0,1009024574.0,-3106477133.0
A005380,현대차,12,2011,Annual,8028829000.0,35989000.0,29268662000.0,33163508000.0,23030910000.0,77797895000.0,3845517000.0,58902023000.0,6237752000.0,40327702000.0,69152273000.0,19548048000.0,109479975000.0,10867043000.0,8104863000.0,35988765000.0,4132119000.0,0.0,43101184000.0,10447110000.0,-7116095000.0
A005380,현대차,12,2012,Annual,8440601000.0,0.0,33980119000.0,32835699000.0,27207255000.0,84469721000.0,3686824000.0,64967273000.0,6772864000.0,47917575000.0,73620239000.0,20739858000.0,121537814000.0,11061847000.0,9061132000.0,40784540000.0,5339686000.0,0.0,48063464000.0,11610442000.0,-7199133000.0
A005380,현대차,12,2013,Annual,8315497000.0,0.0,37677514000.0,31919682000.0,30604398000.0,87307636000.0,3485345000.0,67859491000.0,7073116000.0,56582789000.0,76838690000.0,21462587000.0,133421479000.0,11132648000.0,8993497000.0,44919008000.0,1208466000.0,0.0,54730358000.0,11696706000.0,-6620732000.0
A005380,현대차,12,2014,Annual,7549986000.0,0.0,42527100000.0,35179673000.0,35109861000.0,89256319000.0,3750092000.0,70126276000.0,7417239000.0,62620565000.0,84604552000.0,22542259000.0,147225117000.0,11580057000.0,7649468000.0,49424879000.0,2120845000.0,0.0,60703429000.0,9951274000.0,-6195010000.0
A005380,현대차,12,2015,Annual,6357906000.0,0.0,43751933000.0,41213520000.0,34552934000.0,91958736000.0,4468351000.0,73701296000.0,9198999000.0,66881401000.0,98486545000.0,28698927000.0,165367946000.0,11899534000.0,6509165000.0,57273025000.0,1248415000.0,0.0,73279613000.0,8459373000.0,-8060288000.0
A005380,현대차,12,2016,Annual,5193500000.0,0.0,47584006000.0,43609793000.0,37060194000.0,93649024000.0,4437552000.0,75959720000.0,10523812000.0,72344578000.0,106491350000.0,29405716000.0,178835928000.0,12495804000.0,5719653000.0,62881557000.0,996964000.0,0.0,79468319000.0,7307072000.0,-6311750000.0
A005380,현대차,12,2017,Annual,4574667000.0,0.0,48439726000.0,43160709000.0,38159822000.0,96376079000.0,3838043000.0,78798172000.0,10279904000.0,74757354000.0,103442100000.0,29827142000.0,178199454000.0,13003240000.0,4546400000.0,60281391000.0,3922421000.0,0.0,78591710000.0,4438550000.0,-4744413000.0
A005380,현대차,12,2018,Annual,2422165000.0,0.0,47143512000.0,49438414000.0,36428654000.0,96812609000.0,3595993000.0,81670479000.0,10714858000.0,73896010000.0,106759742000.0,30545608000.0,180655752000.0,12719965000.0,1645019000.0,57321328000.0,3764265000.0,0.0,79010576000.0,2529582000.0,-2415064000.0
A005380,현대차,12,2019,Annual,3605505000.0,0.0,45904673000.0,53314096000.0,34240825000.0,105746422000.0,3513090000.0,88091409000.0,11663848000.0,76365754000.0,118146466000.0,32831524000.0,194512220000.0,14049508000.0,3185646000.0,64832370000.0,419784000.0,0.0,86348921000.0,4163766000.0,-5929184000.0
A005380,현대차,12,2020,Annual,2394671000.0,0.0,51090305000.0,59459528000.0,39756571000.0,103997601000.0,3283972000.0,85515931000.0,11333734000.0,76340970000.0,133003242000.0,34092229000.0,209344212000.0,16086999000.0,1924553000.0,73543714000.0,-409807000.0,0.0,88588697000.0,2093256000.0,-9337596000.0
A005380,현대차,12,2021,Annual,6678949000.0,0.0,53312760000.0,64236787000.0,41667119000.0,117610626000.0,3147296000.0,95680131000.0,11645641000.0,82615789000.0,151330626000.0,35543083000.0,233946415000.0,15251546000.0,5693077000.0,87093839000.0,-1176416000.0,0.0,99604523000.0,7959562000.0,-5182579000.0
A005380,현대차,12,2022,Annual,9824928000.0,0.0,58351905000.0,74236472000.0,44060689000.0,142151469000.0,4279057000.0,113879569000.0,14291216000.0,90896545000.0,164845917000.0,36153190000.0,255742462000.0,18446972000.0,7983614000.0,90609445000.0,10627311000.0,0.0,107000000000.0,11181471000.0,-1203495000.0
A000270,기아,12,2011,Annual,3499088000.0,192494000.0,11075187000.0,11421924000.0,6772322000.0,43190942000.0,2178699000.0,33138961000.0,4302865000.0,13509710000.0,16745469000.0,9184385000.0,30255179000.0,6552893000.0,3519236000.0,5323545000.0,4745189000.0,76571000.0,19179992000.0,4721650000.0,-2630548000.0
