Symbol,Name,상장연도,결산월,회계년,주기,당기순이익률(%),매출총이익률(%),영업이익률(%),자본금영업이익률(%),자본금세전계속사업이익률(%),*영업수익/영업비용(%),ROE(세전계속사업이익)(%),자본금지배주주순이익률(%),매출액증가율(전년동기)(%),총자본증가율(전년동기)(%),유형자산증가율(전년동기)(%),영업이익증가율(전년동기)(%),당기순이익증가율(전년동기)(%),유형자산구성비율(%),무형자산구성비율(%),*판관비율(%),타인자본비율(%),부채비율(%),현금및현금성자산구성비율(%),총자산회전율(회),총부채회전율(회),총자본회전율(회),자본금회전율(회),현금흐름/총부채(%),현금흐름/영업수익(%),현금흐름/총자본(%),유동비율(%),당좌비율(%),매출채권회전율,재고자산회전율,고정자산회전율,영업현금흐름/투자현금흐름(%),DSRI,GMI,AQI,SGI,DEPI,SGAI,LVGI,TATA,벤포드,분식기업
A095570,AJ네트웍스,2015,12,2015,Annual,2.75,100.0,7.03,183.57,94.57,107.57,11.23,46.53,4.39,40.5,15.51,-3.53,3.32,78.67,2.05,92.97,76.93,333.45,4.91,0.67,0.85,3.1,26.09,24.5,28.8,89.25,30.94,27.62,15.81,44.06,0.76,1.43,1.03,1.0,0.81,1.04,0.18,1.01,0.96,0.1,0,0.0
A095570,AJ네트웍스,2015,12,2016,Annual,1.36,100.0,4.93,132.12,61.15,105.19,6.94,28.84,18.79,7.41,14.81,-16.7,-41.09,74.86,2.67,95.07,79.46,386.87,6.17,0.66,0.84,3.04,26.78,22.16,26.34,80.01,34.81,29.89,15.51,33.06,0.78,2.19,1.13,1.0,1.28,1.19,0.17,1.02,1.03,0.12,0,0.0
A095570,AJ네트웍스,2015,12,2017,Annual,2.45,100.0,2.66,47.92,1.69,102.73,0.18,32.03,-32.69,4.61,-78.69,-63.73,20.89,14.1,2.97,97.34,81.01,426.47,3.29,0.38,0.47,1.93,18.02,20.54,43.34,83.63,26.4,21.89,7.85,16.35,0.45,1.66,1.96,1.0,8.47,0.67,0.14,1.02,1.02,0.07,0,0.0
A095570,AJ네트웍스,2015,12,2018,Annual,3.56,100.0,-2.03,-45.35,-105.52,98.01,-10.52,2.42,23.89,9.98,-26.2,-194.64,80.5,9.52,3.09,102.03,80.9,423.61,2.08,0.42,0.52,2.23,22.33,16.0,30.54,68.01,93.97,90.77,10.29,19.74,0.67,1.87,0.53,1.0,0.44,1.24,0.05,1.05,1.0,0.02,0,0.0
A095570,AJ네트웍스,2015,12,2019,Annual,4.21,100.0,1.56,33.42,228.63,101.59,25.51,98.18,-4.33,-29.37,11.33,-173.69,13.04,15.13,4.65,98.44,80.74,419.16,6.82,0.46,0.57,2.38,21.36,12.41,21.96,52.35,62.88,55.52,10.77,18.17,0.85,-0.85,1.36,1.0,1.8,0.96,0.07,0.96,1.0,0.03,0,0.0
A095570,AJ네트웍스,2015,12,2020,Annual,-0.38,100.0,2.42,45.04,-39.52,102.48,-5.82,-8.37,-12.83,-17.08,-15.86,34.76,-107.87,14.45,2.63,97.58,81.87,451.43,4.4,0.51,0.63,2.74,18.62,14.06,22.22,61.0,50.03,45.28,9.18,18.9,0.69,0.18,0.93,1.0,1.11,0.87,0.04,0.99,1.01,0.0,1,0.0
A095570,AJ네트웍스,2015,12,2021,Annual,7.81,100.0,4.9,102.67,47.61,105.15,6.85,164.01,12.61,25.87,-22.6,127.95,-2413.58,13.11,2.06,95.1,73.25,273.79,6.29,0.67,0.86,3.02,20.97,20.93,24.43,73.76,52.16,48.4,11.02,36.78,0.85,-0.07,0.97,1.0,1.05,1.13,0.06,0.97,0.89,0.04,0,0.0
A095570,AJ네트웍스,2015,12,2022,Annual,0.73,100.0,6.4,163.21,55.82,106.84,7.2,18.99,21.56,0.33,-6.58,58.97,-88.71,11.19,1.7,93.6,75.48,307.86,8.89,0.84,1.13,3.29,25.49,15.85,14.03,46.11,39.32,36.34,12.68,53.34,1.07,-0.77,0.84,1.0,1.0,1.22,0.46,0.98,1.03,0.04,0,0.0
A006840,AK홀딩스,1999,12,2012,Annual,45.19,13.96,6.32,54.69,33.49,106.75,3.85,374.5,9.68,45.53,40.75,31.06,340.93,21.45,2.74,7.64,51.9,107.91,5.94,0.46,0.86,0.99,8.65,39.42,45.93,45.63,101.97,75.03,2.1,3.88,0.83,-2.69,1.34,0.93,1.07,1.1,0.01,0.98,0.93,0.01,0,0.0
A006840,AK홀딩스,1999,12,2013,Annual,4.83,17.46,4.86,193.29,240.44,105.11,23.66,142.37,423.51,24.32,413.35,302.51,-44.0,49.23,9.43,12.6,73.26,274.0,4.41,1.3,1.96,3.91,39.76,10.6,5.42,21.19,51.97,41.5,8.24,17.11,1.97,9.58,0.24,0.8,0.59,5.24,0.0,1.65,1.41,-0.03,0,0.0
A006840,AK홀딩스,1999,12,2014,Annual,3.28,25.24,5.13,237.02,181.21,105.41,15.43,105.84,28.24,30.23,15.43,35.4,-12.94,48.67,9.21,20.11,70.18,235.32,4.87,1.12,1.56,3.93,46.18,7.08,4.54,17.84,67.59,49.58,9.11,15.49,1.6,-1.13,0.86,0.69,0.96,1.28,0.01,1.6,0.96,-0.03,0,0.0
A006840,AK홀딩스,1999,12,2015,Annual,-1.33,29.82,3.79,160.51,-30.03,103.94,-2.3,-64.91,-2.32,9.02,-30.28,-27.93,-139.71,37.7,6.75,26.03,63.87,176.79,10.98,1.07,1.59,3.25,42.38,1.71,1.08,3.5,78.61,62.12,10.12,12.98,1.63,0.98,0.7,0.85,1.16,0.98,0.03,1.29,0.91,-0.01,0,0.0
