Symbol,Name,결산월,회계년,주기,DSRI,GMI,AQI,SGI,DEPI,SGAI,LVGI,TATA
A004170,신세계,12,2022,Annual,0.92,0.9,0.93,1.24,0.08,1.12,0.98,-0.02
A007310,오뚜기,12,2011,Annual,,,,,,,,-0.01
A007310,오뚜기,12,2012,Annual,1.02,0.95,0.91,1.05,0.01,1.0,1.0,0.02
A007310,오뚜기,12,2013,Annual,1.02,1.01,1.23,1.02,0.01,1.01,0.96,-0.01
A007310,오뚜기,12,2014,Annual,0.96,0.97,1.02,1.03,0.01,1.02,1.01,-0.0
A007310,오뚜기,12,2015,Annual,0.98,0.96,1.17,1.06,0.01,1.02,0.92,0.01
A007310,오뚜기,12,2016,Annual,1.09,1.0,0.96,1.07,0.01,0.99,0.97,-0.0
A007310,오뚜기,12,2017,Annual,1.17,1.08,0.86,1.06,0.01,0.91,0.95,0.02
A007310,오뚜기,12,2018,Annual,0.99,1.26,0.7,1.06,0.01,0.71,1.15,-0.02
A007310,오뚜기,12,2019,Annual,1.0,1.03,0.96,1.05,0.01,1.0,0.98,-0.01
A007310,오뚜기,12,2020,Annual,1.03,0.97,1.16,1.1,0.01,0.92,1.02,0.05
A007310,오뚜기,12,2021,Annual,0.89,1.1,0.97,1.06,0.01,0.99,1.07,0.01
A007310,오뚜기,12,2022,Annual,1.12,1.02,0.73,1.16,0.01,0.99,1.11,0.03
A204320,HL만도,12,2011,Annual,,,,,,,,
A204320,HL만도,12,2012,Annual,,,,,,,,
A204320,HL만도,12,2013,Annual,,,,,,,,
A204320,HL만도,12,2014,Annual,,,,,,,,-0.02
A204320,HL만도,12,2015,Annual,0.4,0.96,1.07,3.08,0.0,1.02,0.94,0.01
A204320,HL만도,12,2016,Annual,1.02,0.97,1.01,1.11,0.01,1.03,0.98,-0.01
A204320,HL만도,12,2017,Annual,1.04,1.24,1.14,0.97,0.01,1.09,1.03,-0.04
A204320,HL만도,12,2018,Annual,0.95,0.93,1.0,1.0,0.01,0.9,0.98,-0.02
A204320,HL만도,12,2019,Annual,0.94,0.92,1.0,1.06,0.01,1.11,0.98,-0.01
A204320,HL만도,12,2020,Annual,1.07,1.16,0.85,0.93,0.01,1.01,1.0,-0.07
