Symbol,Name,상장연도,결산월,회계년,주기,ROE(세전계속사업이익)(%),총자본증가율(전년동기)(%),영업이익증가율(전년동기)(%),당기순이익증가율(전년동기)(%),부채비율(%),총자본회전율(회),현금흐름/총자본(%)
A000990,DB하이텍,1975,12,2013,Annual,-32.84,-29.61,적지,적지,416.9,1.99,1.87
A000990,DB하이텍,1975,12,2014,Annual,-54.67,-41.05,흑전,적지,715.95,3.49,3.11
A000990,DB하이텍,1975,12,2015,Annual,61.81,110.48,174.29,흑전,287.57,3.56,111.86
A000990,DB하이텍,1975,12,2016,Annual,28.69,34.58,37.98,-30.29,188.6,2.59,56.27
A000990,DB하이텍,1975,12,2017,Annual,26.32,33.31,-16.95,24.71,118.07,1.70,45.25
A000990,DB하이텍,1975,12,2018,Annual,18.95,22.51,-21.09,-21.19,91,1.32,30.41
A000990,DB하이텍,1975,12,2019,Annual,23.93,15.45,60.45,20.51,68.91,1.34,30.74
A000990,DB하이텍,1975,12,2020,Annual,29.13,23.26,32.02,58.67,48.33,1.30,38.65
A000990,DB하이텍,1975,12,2021,Annual,44.24,39.2,66.76,90.87,40.13,1.28,48.58
A000990,DB하이텍,1975,12,2022,Annual,54.19,47.8,90.9,75.53,31.04,1.22,49.32
A001530,DI동일,1964,12,2012,Annual,-0.08,-4.31,적전,적전,63.96,1.31,0.83
A001530,DI동일,1964,12,2013,Annual,3.82,1.32,흑전,흑전,74.87,1.37,4.51
A001530,DI동일,1964,12,2014,Annual,1.13,-1.37,-49.82,-71.48,75.62,1.35,3.17
A001530,DI동일,1964,12,2015,Annual,-0.30,-2.52,-25.92,적전,79.05,1.40,1.77
A001530,DI동일,1964,12,2016,Annual,1.65,-0.77,65.72,흑전,81.95,1.51,3.47
A001530,DI동일,1964,12,2017,Annual,-0.16,-3.91,27.13,적전,78.66,1.59,2.73
A001530,DI동일,1964,12,2018,Annual,5.14,-1.64,102.48,흑전,84.86,1.76,4.06
A001530,DI동일,1964,12,2019,Annual,3.64,-3.35,-60.78,-1.24,79.32,1.36,5.70
A001530,DI동일,1964,12,2020,Annual,6.09,4.29,51.24,76.12,70.82,1.34,7.87
A001530,DI동일,1964,12,2021,Annual,11.35,11,84.27,92.68,73.17,1.49,11.41
A001530,DI동일,1964,12,2022,Annual,7.62,7.97,-7.9,24.08,61.16,1.39,12.12
A000210,DL,1976,12,2012,Annual,11.72,6.06,11.11,5.52,123.77,2.15,9.49
A000210,DL,1976,12,2013,Annual,-0.28,-0.98,-91.84,적전,121.4,2.01,0.97
A000210,DL,1976,12,2014,Annual,-8.55,-8.32,적전,적지,137.31,1.99,-8.03
A000210,DL,1976,12,2015,Annual,9.41,7.63,흑전,흑전,151.05,2.05,6.34
A000210,DL,1976,12,2016,Annual,8.77,7.07,54.32,35.13,140.83,1.98,7.51
A000210,DL,1976,12,2017,Annual,12.46,10.67,30.17,73.26,135.37,2.28,11.25
A000210,DL,1976,12,2018,Annual,15.23,6.25,54.86,33.48,112.12,1.87,13.23
A000210,DL,1976,12,2019,Annual,4.21,11.35,-83.91,4.75,99.58,0.26,12.78
A000210,DL,1976,12,2020,Annual,0.89,-52.33,-12.45,-19.38,332.9,0.31,13.97
A000210,DL,1976,12,2021,Annual,18.90,36.6,62.25,27.23,86.49,0.62,22.87
A000210,DL,1976,12,2022,Annual,2.71,4.93,47.27,-86.53,160.8,1.15,9.64
A375500,DL이앤씨,2021,12,2021,Annual,,,,,93.49,,
A375500,DL이앤씨,2021,12,2022,Annual,12.96,4.34,-48.08,-32.13,91.26,1.63,10.87
A155660,DSR,2013,12,2013,Annual,8.81,26.73,-27.23,-28.21,58.95,2.13,11.39
A155660,DSR,2013,12,2014,Annual,7.72,6.54,3.34,3.34,63.25,2.01,10.23
A155660,DSR,2013,12,2015,Annual,10.83,8.56,42.84,46.58,45.01,1.83,12.44
A155660,DSR,2013,12,2016,Annual,11.49,9.21,4.83,7.57,46.6,1.57,12.12
A155660,DSR,2013,12,2017,Annual,9.92,5.52,4.01,2.67,62.04,1.65,12.02
A155660,DSR,2013,12,2018,Annual,6.74,4.68,-28.69,-27.3,52.59,1.64,10.29
A155660,DSR,2013,12,2019,Annual,7.70,5.33,7.61,9.55,54.77,1.56,10.82
A155660,DSR,2013,12,2020,Annual,7.14,4.9,13.29,2.17,55.22,1.45,10.71
A155660,DSR,2013,12,2021,Annual,9.35,9.25,11.42,39.69,69.98,1.60,12.15
A155660,DSR,2013,12,2022,Annual,17.00,13.65,165.9,95.78,80.26,1.93,17.80
A069730,DSR제강,2003,12,2012,Annual,1.01,0.1,적전,-86.89,99.72,1.69,10.96
