Symbol,Name,결산월,회계년,주기,매출총이익률(%),영업이익률(%),당기순이익률(%),자본금영업이익률(%),영업수익(천원),영업비용(천원),세전계속사업이익률(%),자본금세전계속사업이익률(%),자본금지배주주순이익률(%)
A001930,효성물산,12,2022,Annual,,,,,,,,,
A001980,대호,12,2011,Annual,,,,,,,,,
A001980,대호,12,2012,Annual,,,,,,,,,
A001980,대호,12,2013,Annual,,,,,,,,,
A001980,대호,12,2014,Annual,,,,,,,,,
A001980,대호,12,2015,Annual,,,,,,,,,
A001980,대호,12,2016,Annual,,,,,,,,,
A001980,대호,12,2017,Annual,,,,,,,,,
A001980,대호,12,2018,Annual,,,,,,,,,
A001980,대호,12,2019,Annual,,,,,,,,,
A001980,대호,12,2020,Annual,,,,,,,,,
A001980,대호,12,2021,Annual,,,,,,,,,
A001980,대호,12,2022,Annual,,,,,,,,,
A002000,한국유리,12,2011,Annual,18.48,6.36,6.21,32.28,"354,479,707","331,919,827",8.60,43.60,31.51
A002000,한국유리,12,2012,Annual,-2.87,-19.42,-28.75,-71.82,"258,488,834","308,679,703",-32.32,-119.57,-106.33
A002000,한국유리,12,2013,Annual,8.54,-12.55,0.97,-42.11,"234,479,118","263,907,925",-1.03,-3.46,3.25
A002000,한국유리,12,2014,Annual,16.39,2.53,3.21,8.25,"227,499,820","221,734,488",4.23,13.78,10.44
A002000,한국유리,12,2015,Annual,15.80,1.71,14.26,5.05,"206,899,122","203,369,037",15.93,47.17,42.21
A002000,한국유리,12,2016,Annual,16.20,1.99,12.56,6.48,"227,067,453","222,538,971",7.09,23.03,40.82
A002000,한국유리,12,2017,Annual,15.14,2.47,48.16,8.76,"247,454,244","241,333,461",63.08,223.37,170.54
A002000,한국유리,12,2018,Annual,100.00,72.95,76.31,11.76,"11,267,027","3,047,267",89.33,14.40,12.30
A002000,한국유리,12,2019,Annual,100.00,72.61,"1,181.02",11.16,"10,740,749","2,941,537",245.47,37.73,181.52
A002000,한국유리,12,2020,Annual,100.00,94.18,95.33,145.36,"67,608,547","3,933,461",98.96,152.73,147.13
A002000,한국유리,12,2021,Annual,100.00,71.88,53.62,49.92,"12,309,193","3,461,330",75.66,52.54,37.24
A002000,한국유리,12,2022,Annual,100.00,50.59,80.97,22.12,"7,749,317","3,828,638",106.30,46.47,35.40
A002010,삼성건설,12,2011,Annual,,,,,,,,,
A002010,삼성건설,12,2012,Annual,,,,,,,,,
A002010,삼성건설,12,2013,Annual,,,,,,,,,
A002010,삼성건설,12,2014,Annual,,,,,,,,,
A002010,삼성건설,12,2015,Annual,,,,,,,,,
A002010,삼성건설,12,2016,Annual,,,,,,,,,
A002010,삼성건설,12,2017,Annual,,,,,,,,,
A002010,삼성건설,12,2018,Annual,,,,,,,,,
A002010,삼성건설,12,2019,Annual,,,,,,,,,
A002010,삼성건설,12,2020,Annual,,,,,,,,,
A002010,삼성건설,12,2021,Annual,,,,,,,,,
A002010,삼성건설,12,2022,Annual,,,,,,,,,
A002050,경향건설,12,2011,Annual,,,,,,,,,
A002050,경향건설,12,2012,Annual,,,,,,,,,
A002050,경향건설,12,2013,Annual,,,,,,,,,
A002050,경향건설,12,2014,Annual,,,,,,,,,
A002050,경향건설,12,2015,Annual,,,,,,,,,
A002050,경향건설,12,2016,Annual,,,,,,,,,
A002050,경향건설,12,2017,Annual,,,,,,,,,
A002050,경향건설,12,2018,Annual,,,,,,,,,
A002050,경향건설,12,2019,Annual,,,,,,,,,
A002050,경향건설,12,2020,Annual,,,,,,,,,
A002050,경향건설,12,2021,Annual,,,,,,,,,
A002050,경향건설,12,2022,Annual,,,,,,,,,
A002080,벽산개발,12,2011,Annual,,,,,,,,,
A002080,벽산개발,12,2012,Annual,,,,,,,,,
A002080,벽산개발,12,2013,Annual,,,,,,,,,
A002080,벽산개발,12,2014,Annual,,,,,,,,,
A002080,벽산개발,12,2015,Annual,,,,,,,,,
A002080,벽산개발,12,2016,Annual,,,,,,,,,
A002080,벽산개발,12,2017,Annual,,,,,,,,,
A002080,벽산개발,12,2018,Annual,,,,,,,,,
A002080,벽산개발,12,2019,Annual,,,,,,,,,
A002080,벽산개발,12,2020,Annual,,,,,,,,,
A002080,벽산개발,12,2021,Annual,,,,,,,,,
A002080,벽산개발,12,2022,Annual,,,,,,,,,
A002130,피어리스,12,2011,Annual,,,,,,,,,
A002130,피어리스,12,2012,Annual,,,,,,,,,
A002130,피어리스,12,2013,Annual,,,,,,,,,
A002130,피어리스,12,2014,Annual,,,,,,,,,
A002130,피어리스,12,2015,Annual,,,,,,,,,
A002130,피어리스,12,2016,Annual,,,,,,,,,
A002130,피어리스,12,2017,Annual,,,,,,,,,
A002130,피어리스,12,2018,Annual,,,,,,,,,
A002130,피어리스,12,2019,Annual,,,,,,,,,
A002130,피어리스,12,2020,Annual,,,,,,,,,
A002130,피어리스,12,2021,Annual,,,,,,,,,
A002130,피어리스,12,2022,Annual,,,,,,,,,
A002180,삼익건설,12,2011,Annual,,,,,,,,,
A002180,삼익건설,12,2012,Annual,,,,,,,,,
A002180,삼익건설,12,2013,Annual,,,,,,,,,
A002180,삼익건설,12,2014,Annual,,,,,,,,,
A002180,삼익건설,12,2015,Annual,,,,,,,,,
A002180,삼익건설,12,2016,Annual,,,,,,,,,
A002180,삼익건설,12,2017,Annual,,,,,,,,,
A002180,삼익건설,12,2018,Annual,,,,,,,,,
A002180,삼익건설,12,2019,Annual,,,,,,,,,
A002180,삼익건설,12,2020,Annual,,,,,,,,,
A002180,삼익건설,12,2021,Annual,,,,,,,,,
A002180,삼익건설,12,2022,Annual,,,,,,,,,
A002250,알보젠코리아,12,2011,Annual,58.43,9.42,5.28,39.75,"68,800,629","62,321,832",7.14,30.12,22.30
A002250,알보젠코리아,12,2012,Annual,50.26,-3.33,-2.01,-10.71,"65,505,585","67,687,850",-2.03,-6.54,-6.47
A002250,알보젠코리아,12,2013,Annual,55.52,6.82,2.86,19.75,"70,833,022","66,003,228",9.52,27.57,8.29
A002250,알보젠코리아,12,2014,Annual,46.48,-17.13,-16.38,-26.70,"65,261,904","76,442,913",-18.12,-28.24,-25.52
A002250,알보젠코리아,12,2015,Annual,58.97,12.44,7.38,34.81,"165,836,539","145,200,305",10.27,28.73,20.64
A002250,알보젠코리아,12,2016,Annual,56.81,16.88,4.42,51.59,"181,183,145","150,594,885",6.87,21.00,13.51
A002250,알보젠코리아,12,2017,Annual,48.53,13.59,5.79,43.58,"190,056,883","164,220,450",9.45,30.30,18.55
A002250,알보젠코리아,12,2018,Annual,47.59,12.14,5.48,39.67,"193,732,003","170,210,129",7.92,25.88,17.90
A002250,알보젠코리아,12,2019,Annual,46.13,7.66,3.62,24.52,"189,743,508","175,206,024",4.92,15.74,11.58
A002250,알보젠코리아,12,2020,Annual,43.83,8.20,4.90,29.20,"211,101,100","193,785,865",6.84,24.37,17.45
A002250,알보젠코리아,12,2021,Annual,43.32,12.66,6.67,53.71,"231,957,643","202,580,647",9.88,41.89,28.28
A002250,알보젠코리아,12,2022,Annual,45.02,13.13,13.54,60.60,"231,352,772","200,984,740",18.87,87.13,62.51
A002270,롯데푸드,12,2011,Annual,20.59,7.11,5.08,"1,069.24","946,949,476","879,627,861",6.39,961.80,764.19
A002270,롯데푸드,12,2012,Annual,19.52,5.89,6.09,926.40,"1,007,189,733","947,824,850",7.02,"1,103.97",957.85
A002270,롯데푸드,12,2013,Annual,20.22,4.70,7.27,"1,103.50","1,568,260,515","1,494,506,695",7.84,"1,839.45","1,704.83"
A002270,롯데푸드,12,2014,Annual,19.69,4.04,3.67,963.09,"1,633,022,309","1,567,077,625",4.48,"1,068.79",874.42
A002270,롯데푸드,12,2015,Annual,20.43,4.06,2.95,"1,011.03","1,706,247,941","1,637,020,876",3.67,914.76,734.23
A002270,롯데푸드,12,2016,Annual,20.43,4.53,3.30,"1,165.88","1,762,404,698","1,682,575,033",4.31,"1,108.08",849.59
A002270,롯데푸드,12,2017,Annual,17.92,3.64,5.23,"1,059.13","1,818,563,146","1,752,332,864",6.13,"1,781.99","1,520.36"
A002270,롯데푸드,12,2018,Annual,17.00,3.73,2.35,"1,194.02","1,810,810,001","1,743,235,963",3.09,987.77,751.68
A002270,롯데푸드,12,2019,Annual,16.79,2.77,2.10,874.06,"1,788,031,137","1,738,564,820",2.78,877.40,664.76
A002270,롯데푸드,12,2020,Annual,18.75,2.94,4.63,789.70,"1,522,367,177","1,477,675,557",6.36,"1,710.52","1,245.36"
A002270,롯데푸드,12,2021,Annual,18.43,2.48,0.09,681.36,"1,608,410,730","1,568,535,400",0.66,180.09,24.23
A002270,롯데푸드,12,2022,Annual,,,,,,,,,
A002300,한국제지,12,2011,Annual,8.69,0.62,1.22,15.83,"637,749,513","633,789,060",1.40,35.71,31.01
A002300,한국제지,12,2012,Annual,9.81,1.11,1.78,28.24,"636,553,673","629,487,030",2.48,63.07,45.16
A002300,한국제지,12,2013,Annual,9.77,1.21,1.35,31.35,"650,725,629","642,880,040",1.79,46.44,35.10
A002300,한국제지,12,2014,Annual,11.10,0.67,0.66,14.66,"547,076,190","543,408,730",0.82,17.82,14.35
A002300,한국제지,12,2015,Annual,11.72,1.79,1.49,37.91,"531,291,091","521,803,199",1.89,40.16,31.68
A002300,한국제지,12,2016,Annual,12.04,2.76,2.63,58.97,"535,218,961","520,462,676",3.53,75.41,56.16
A002300,한국제지,12,2017,Annual,8.96,-0.08,0.78,-1.82,"549,599,072","550,054,636",1.46,32.05,17.08
A002300,한국제지,12,2018,Annual,5.43,-3.43,-5.88,-79.15,"577,132,596","596,940,665",-7.80,-179.92,-135.50
A002300,한국제지,12,2019,Annual,10.14,-0.20,-4.08,-4.58,"562,726,994","563,872,211",-4.08,-91.74,-91.75
A002300,한국제지,12,2020,Annual,,,,,,,,,
A002300,한국제지,12,2021,Annual,,,,,,,,,
