Symbol,Name,결산월,회계년,주기,부채비율(%),유동비율,유동자산(천원),유동부채(천원),당좌비율,당좌자산(천원),유동부채(천원),현금비율,현금및현금성자산(천원),유동부채(천원),유형자산구성비율(%),무형자산구성비율(%),판매비와관리비증가율(전년동기)(%),타인자본비율(%),매출액(천원),단기금융상품(천원)
A005380,현대차,12,2012,Annual,45.72,,"19,653,944,000","11,153,049,000",,"17,957,169,000","11,153,049,000",,"1,395,068,000","11,153,049,000",24.67,3.77,-1.50,31.38,"43,162,401,000","11,658,545,000"
A005380,현대차,12,2013,Annual,38.55,,"21,284,518,000","10,423,536,000",,"19,122,100,000","10,423,536,000",,"642,836,000","10,423,536,000",24.23,3.83,-0.76,27.82,"41,691,171,000","14,055,305,000"
A005380,현대차,12,2014,Annual,35.21,,"23,624,589,000","10,711,273,000",,"21,438,028,000","10,711,273,000",,"708,379,000","10,711,273,000",24.31,4.58,4.30,26.04,"43,045,875,000","3,274,698,000"
A005380,현대차,12,2015,Annual,35.58,,"22,098,375,000","12,173,086,000",,"19,845,292,000","12,173,086,000",,"583,280,000","12,173,086,000",31.24,4.91,8.21,26.24,"44,439,694,000","5,975,546,000"
A005380,현대차,12,2016,Annual,33.38,,"24,175,403,000","11,209,671,000",,"22,038,863,000","11,209,671,000",,"88,021,000","11,209,671,000",30.69,4.95,3.46,25.02,"41,713,632,000","6,454,390,000"
A005380,현대차,12,2017,Annual,29.94,,"23,299,445,000","10,360,637,000",,"20,911,100,000","10,360,637,000",,"108,022,000","10,360,637,000",31.70,5.30,-2.75,23.04,"41,604,869,000","6,525,813,000"
A005380,현대차,12,2018,Annual,32.86,,"22,325,069,000","12,737,313,000",,"19,461,417,000","12,737,313,000",,"194,203,000","12,737,313,000",33.00,5.64,-0.07,24.73,"43,160,108,000","6,478,598,000"
A005380,현대차,12,2019,Annual,37.81,,"22,346,792,000","15,148,868,000",,"19,281,463,000","15,148,868,000",,"382,000,000","15,148,868,000",33.10,5.79,6.38,27.44,"49,155,693,000","5,793,630,000"
A005380,현대차,12,2020,Annual,47.12,,"24,612,104,000","17,709,438,000",,"21,568,636,000","17,709,438,000",,"469,990,000","17,709,438,000",31.73,5.77,22.53,32.03,"50,661,002,000","5,293,455,000"
A005380,현대차,12,2021,Annual,51.42,,"23,330,493,000","20,043,791,000",,"20,650,161,000","20,043,791,000",,"653,462,000","20,043,791,000",31.68,5.53,-5.41,33.96,"55,605,120,000","4,267,467,000"
A005380,현대차,12,2022,Annual,49.60,,"23,819,313,000","21,443,574,000",,"20,279,930,000","21,443,574,000",,"4,897,550,000","21,443,574,000",30.74,5.05,11.15,33.16,"65,308,350,000","2,734,699,000"
A000270,기아,12,2011,Annual,79.16,,"6,562,626,000","7,269,167,000",,"5,362,570,000","7,269,167,000",,"1,015,931,000","7,269,167,000",28.92,6.02,9.60,44.18,"27,742,277,000","1,630,000,000"
A000270,기아,12,2012,Annual,63.93,,"6,742,393,000","6,462,263,000",,"5,555,896,000","6,462,263,000",,"779,580,000","6,462,263,000",29.88,5.84,7.78,39.00,"28,007,913,000","2,360,000,000"
A000270,기아,12,2013,Annual,63.33,,"8,505,214,000","7,080,451,000",,"7,378,486,000","7,080,451,000",,"919,196,000","7,080,451,000",27.75,6.05,0.79,38.78,"28,332,572,000","3,901,369,000"
A000270,기아,12,2014,Annual,65.02,,"10,913,812,000","7,217,078,000",,"9,616,224,000","7,217,078,000",,"830,383,000","7,217,078,000",25.91,5.93,0.88,39.40,"29,850,115,000","4,178,938,000"
