Symbol,Name,결산월,회계년,주기,매출액증가율(전년동기)(%),영업이익증가율(전년동기)(%),영업이익(천원),당기순이익증가율,당기순이익(천원),총자본증가율,총자본(천원),유형자산(천원)
A163560,동일고무벨트,12,2022,Annual,40.20,501.43,"10,643,381",,"9,587,170",,"212,166,000","121,775,878"
A023000,삼원강재,12,2011,Annual,22.48,24.60,"26,314,423",,"20,450,535",,"135,669,815","66,808,533"
A023000,삼원강재,12,2012,Annual,0.71,-6.55,"24,589,931",,"18,622,622",,"150,120,434","77,395,076"
A023000,삼원강재,12,2013,Annual,-10.31,-24.02,"18,684,202",,"14,989,136",,"160,741,308","88,444,702"
A023000,삼원강재,12,2014,Annual,-9.73,-14.71,"15,936,041",,"14,501,518",,"169,514,995","98,995,488"
A023000,삼원강재,12,2015,Annual,-3.74,17.39,"18,708,085",,"15,838,537",,"179,137,821","101,284,194"
A023000,삼원강재,12,2016,Annual,-1.44,-14.82,"15,935,138",,"14,205,977",,"189,197,583","107,919,354"
A023000,삼원강재,12,2017,Annual,2.90,-21.21,"12,556,027",,"10,996,331",,"194,953,508","104,777,121"
A023000,삼원강재,12,2018,Annual,3.84,4.69,"13,144,626",,"11,932,057",,"204,657,754","103,525,384"
A023000,삼원강재,12,2019,Annual,-6.09,-17.86,"10,797,109",,"10,433,348",,"209,945,887","93,543,717"
A023000,삼원강재,12,2020,Annual,-8.67,-7.45,"9,992,552",,"8,119,325",,"212,756,399","88,053,044"
A023000,삼원강재,12,2021,Annual,21.94,-4.44,"9,549,370",,"8,804,033",,"218,726,736","88,937,030"
A023000,삼원강재,12,2022,Annual,21.39,73.13,"16,532,526",,"13,013,318",,"230,780,834","76,017,321"
A023450,동남합성,12,2011,Annual,19.76,-47.58,"1,492,162",,"1,812,404",,"44,259,771","30,129,508"
A023450,동남합성,12,2012,Annual,3.65,-49.17,"758,417",,"3,809,730",,"47,810,712","29,792,034"
A023450,동남합성,12,2013,Annual,-2.26,215.65,"2,393,917",,"1,989,502",,"49,354,152","30,252,414"
