Symbol,Name,결산월,회계년,주기,부채비율(%),유동비율,유동자산(천원),유동부채(천원),당좌비율,당좌자산(천원),현금비율,현금및현금성자산(천원),유동부채(천원),매출액(천원),유동부채(천원),유형자산구성비율(%),무형자산구성비율(%),판매비와관리비증가율(전년동기)(%),타인자본비율(%),단기금융상품(천원)
A348370,엔켐,12,2022,Annual,90.02,,"127,446,925","134,591,598",,"104,991,244",,"2,553,109","134,591,598","163,340,507","134,591,598",3.90,0.03,67.73,47.37,"420,000"
A058470,리노공업,12,2011,Annual,7.52,,"75,806,902","7,495,807",,"72,996,535",,"21,309,618","7,495,807","66,049,988","7,495,807",22.81,0.76,18.10,6.99,"36,822,664"
A058470,리노공업,12,2012,Annual,7.19,,"78,743,137","8,043,621",,"75,886,823",,"21,931,934","8,043,621","75,222,218","8,043,621",26.55,0.74,12.84,6.70,"40,272,742"
A058470,리노공업,12,2013,Annual,6.05,,"90,245,206","8,122,576",,"86,263,888",,"20,679,150","8,122,576","80,639,505","8,122,576",31.12,0.68,19.41,5.71,"42,208,360"
A058470,리노공업,12,2014,Annual,6.60,,"99,647,540","9,478,752",,"95,106,776",,"21,755,104","9,478,752","93,421,913","9,478,752",33.81,0.89,20.07,6.19,"45,916,120"
A058470,리노공업,12,2015,Annual,5.72,,"105,138,052","9,357,419",,"100,537,478",,"21,881,029","9,357,419","99,475,355","9,357,419",33.85,0.82,0.10,5.41,"59,832,000"
A058470,리노공업,12,2016,Annual,7.86,,"137,686,438","13,906,794",,"132,121,432",,"50,151,976","13,906,794","112,788,734","13,906,794",31.67,0.72,1.45,7.29,"48,767,000"
A058470,리노공업,12,2017,Annual,8.13,,"168,321,688","17,849,227",,"160,366,697",,"60,037,288","17,849,227","141,510,913","17,849,227",27.83,0.71,7.81,7.52,"57,832,000"
A058470,리노공업,12,2018,Annual,7.52,,"197,338,475","18,770,941",,"187,903,491",,"44,213,853","18,770,941","150,354,373","18,770,941",27.32,0.58,-0.17,7.00,"96,767,000"
A058470,리노공업,12,2019,Annual,8.51,,"225,546,548","23,006,488",,"214,423,383",,"31,868,276","23,006,488","170,307,405","23,006,488",25.99,0.53,-4.23,7.84,"124,832,000"
A058470,리노공업,12,2020,Annual,7.17,,"257,710,374","21,920,276",,"245,361,522",,"99,439,220","21,920,276","201,335,459","21,920,276",26.63,0.59,8.82,6.69,"107,207,000"
A058470,리노공업,12,2021,Annual,11.65,,"335,723,022","45,990,326",,"324,126,118",,"77,211,545","45,990,326","280,166,833","45,990,326",26.67,0.43,29.72,10.44,"205,759,500"
A058470,리노공업,12,2022,Annual,7.77,,"377,024,806","36,383,168",,"363,913,730",,"30,366,978","36,383,168","322,422,803","36,383,168",24.17,0.34,27.31,7.21,"286,767,000"
A068760,셀트리온제약,12,2011,Annual,68.95,,"99,025,556","53,975,864",,"50,024,178",,"1,381,158","53,975,864","42,273,147","53,975,864",22.53,13.75,25.41,40.81,"3,240,937"
