Symbol,Name,결산월,회계년,주기,총자산회전율(회),매출채권회전율,매출액(천원),매출채권(천원),재고자산회전율,매출액(천원),재고자산(천원),총부채회전율(회),총자본회전율(회),자본금회전율(회),총자산(천원),매출원가(천원)
A348370,엔켐,12,2022,Annual,0.35,,"163,340,507","53,906,228",,"163,340,507","22,455,681",0.74,0.65,21.07,"552,690,319","139,353,082"
A058470,리노공업,12,2011,Annual,0.62,,"66,049,988","11,071,199",,"66,049,988","2,810,367",8.47,0.67,16.47,"112,267,695","36,704,497"
A058470,리노공업,12,2012,Annual,0.62,,"75,222,218","12,863,660",,"75,222,218","2,856,314",9.07,0.67,18.75,"130,333,629","40,811,073"
A058470,리노공업,12,2013,Annual,0.58,,"80,639,505","13,544,143",,"80,639,505","3,981,318",9.39,0.62,13.86,"147,878,926","43,843,381"
A058470,리노공업,12,2014,Annual,0.59,,"93,421,913","15,852,810",,"93,421,913","4,540,765",9.96,0.63,12.26,"166,577,596","51,138,162"
A058470,리노공업,12,2015,Annual,0.56,,"99,475,355","14,247,682",,"99,475,355","4,600,574",9.70,0.59,13.05,"188,340,682","53,890,367"
A058470,리노공업,12,2016,Annual,0.56,,"112,788,734","17,047,901",,"112,788,734","5,565,005",8.68,0.60,14.80,"216,718,692","63,758,360"
A058470,리노공업,12,2017,Annual,0.61,,"141,510,913","23,889,621",,"141,510,913","7,954,992",8.24,0.66,18.57,"246,483,656","81,881,083"
A058470,리노공업,12,2018,Annual,0.57,,"150,354,373","27,108,745",,"150,354,373","9,434,984",7.85,0.61,19.73,"282,621,920","82,354,588"
A058470,리노공업,12,2019,Annual,0.56,,"170,307,405","42,352,717",,"170,307,405","11,123,165",7.52,0.60,22.35,"325,715,904","96,152,845"
A058470,리노공업,12,2020,Annual,0.59,,"201,335,459","29,113,650",,"201,335,459","12,348,852",8.10,0.63,26.42,"361,533,315","112,557,858"
A058470,리노공업,12,2021,Annual,0.68,,"280,166,833","35,370,079",,"280,166,833","11,596,904",7.69,0.74,36.76,"466,371,034","148,928,526"
A058470,리노공업,12,2022,Annual,0.65,,"322,422,803","39,326,047",,"322,422,803","13,111,076",7.41,0.71,42.31,"531,488,129","167,794,521"
A068760,셀트리온제약,12,2011,Annual,0.22,,"42,273,147","25,838,195",,"42,273,147","49,001,378",0.60,0.34,6.88,"214,249,767","12,110,968"
A068760,셀트리온제약,12,2012,Annual,0.16,,"44,707,596","29,789,827",,"44,707,596","84,372,086",0.34,0.32,6.77,"330,075,784","13,484,038"
A068760,셀트리온제약,12,2013,Annual,0.15,,"50,083,248","34,685,001",,"50,083,248","80,129,310",0.27,0.31,7.02,"359,987,807","15,384,857"
A068760,셀트리온제약,12,2014,Annual,0.17,,"64,708,354","39,362,494",,"64,708,354","75,925,522",0.33,0.34,7.78,"412,667,481","21,920,487"
A068760,셀트리온제약,12,2015,Annual,0.17,,"72,578,429","42,557,136",,"72,578,429","73,742,254",0.34,0.36,7.30,"422,822,902","24,765,255"
A068760,셀트리온제약,12,2016,Annual,0.24,,"101,569,415","80,417,627",,"101,569,415","65,871,749",0.51,0.44,7.74,"441,529,265","60,697,985"
A068760,셀트리온제약,12,2017,Annual,0.28,,"129,529,518","122,844,276",,"129,529,518","65,242,661",0.75,0.46,7.97,"469,195,117","72,063,976"
A068760,셀트리온제약,12,2018,Annual,0.30,,"139,470,824","132,060,804",,"139,470,824","42,017,420",0.78,0.50,8.28,"449,699,183","99,832,287"
A068760,셀트리온제약,12,2019,Annual,0.38,,"172,682,727","138,776,342",,"172,682,727","33,101,847",0.93,0.63,10.13,"470,980,396","109,919,597"
A068760,셀트리온제약,12,2020,Annual,0.46,,"233,568,478","140,466,170",,"233,568,478","55,013,900",1.07,0.80,13.37,"548,074,598","160,404,142"
A068760,셀트리온제약,12,2021,Annual,0.67,,"398,738,209","172,429,070",,"398,738,209","63,886,907",1.44,1.26,22.04,"637,884,365","279,484,977"
A068760,셀트리온제약,12,2022,Annual,0.62,,"386,039,613","185,765,541",,"386,039,613","69,176,711",1.41,1.12,20.80,"599,724,549","273,265,650"
A403870,HPSP,12,2011,Annual,,,,,,,,,,,,
A403870,HPSP,12,2012,Annual,,,,,,,,,,,,
A403870,HPSP,12,2013,Annual,,,,,,,,,,,,
A403870,HPSP,12,2014,Annual,,,,,,,,,,,,
A403870,HPSP,12,2015,Annual,,,,,,,,,,,,
A403870,HPSP,12,2016,Annual,,,,,,,,,,,,
A403870,HPSP,12,2017,Annual,,,"28,203,402","2,938,137",,"28,203,402","2,007,100",,,,"27,248,528","9,744,612"
A403870,HPSP,12,2018,Annual,0.12,,"2,362,335","222,727",,"2,362,335","4,777,547",0.69,0.14,1.17,"13,249,508","1,747,880"
A403870,HPSP,12,2019,Annual,1.27,,"25,114,953","3,512,683",,"25,114,953","5,624,761",7.09,1.55,12.40,"26,258,913","10,356,025"
A403870,HPSP,12,2020,Annual,N/A(IFRS),,"61,174,375","532,364",,"61,174,375","8,473,400",N/A(IFRS),N/A(IFRS),N/A(IFRS),"52,710,212","20,167,710"
A403870,HPSP,12,2021,Annual,1.27,,"91,752,312","5,788,489",,"91,752,312","17,542,952",3.21,2.11,17.60,"91,621,767","30,123,522"
A403870,HPSP,12,2022,Annual,0.90,,"159,336,323","1,861,748",,"159,336,323","33,893,037",3.05,1.28,17.23,"260,926,477","49,236,155"
A277810,레인보우로보틱스,12,2011,Annual,,,,,,,,,,,,
A277810,레인보우로보틱스,12,2012,Annual,,,,,,,,,,,,
A277810,레인보우로보틱스,12,2013,Annual,,,,,,,,,,,,
A277810,레인보우로보틱스,12,2014,Annual,,,,,,,,,,,,
A277810,레인보우로보틱스,12,2015,Annual,,,,,,,,,,,,
A277810,레인보우로보틱스,12,2016,Annual,,,"2,714,190","1,087,650",,"2,714,190","290,297",,,,"4,393,323","751,371"
A277810,레인보우로보틱스,12,2017,Annual,0.42,,"4,103,518","3,065,664",,"4,103,518","371,766",5.07,0.46,34.40,"15,099,557","1,389,374"
A277810,레인보우로보틱스,12,2018,Annual,0.08,,"1,051,439","11,200",,"1,051,439","470,656",1.35,0.08,0.32,"12,419,886","424,924"
A277810,레인보우로보틱스,12,2019,Annual,0.16,,"1,693,984","286,628",,"1,693,984","1,397,523",1.74,0.17,0.26,"9,183,332","775,435"
A277810,레인보우로보틱스,12,2020,Annual,0.53,,"5,426,967","783,431",,"5,426,967","1,595,609",1.81,0.74,0.84,"11,404,217","2,610,418"
A277810,레인보우로보틱스,12,2021,Annual,0.24,,"8,969,575","1,459,942",,"8,969,575","2,910,748",0.86,0.33,1.22,"63,832,273","4,443,793"
A277810,레인보우로보틱스,12,2022,Annual,0.19,,"13,615,412","2,866,976",,"13,615,412","5,110,471",0.89,0.25,1.63,"76,134,548","6,498,042"
A039030,이오테크닉스,12,2011,Annual,0.63,,"147,759,408","80,155,095",,"147,759,408","32,965,408",2.41,0.85,24.15,"246,251,058","111,684,517"
A039030,이오테크닉스,12,2012,Annual,0.75,,"204,437,928","113,275,844",,"204,437,928","42,615,126",2.52,1.06,33.40,"301,814,478","148,822,834"
A039030,이오테크닉스,12,2013,Annual,0.68,,"217,645,552","136,606,103",,"217,645,552","62,631,910",2.18,0.99,35.56,"335,187,832","158,995,751"
A039030,이오테크닉스,12,2014,Annual,0.79,,"273,216,067","126,120,388",,"273,216,067","68,212,167",2.94,1.08,44.59,"358,369,712","194,593,275"
A039030,이오테크닉스,12,2015,Annual,0.65,,"233,716,182","122,742,158",,"233,716,182","74,094,582",3.31,0.82,38.09,"355,970,508","189,527,491"
A039030,이오테크닉스,12,2016,Annual,0.76,,"285,077,306","131,028,520",,"285,077,306","75,703,821",3.80,0.95,46.45,"394,336,167","241,116,571"
A039030,이오테크닉스,12,2017,Annual,0.95,,"376,174,750","127,836,557",,"376,174,750","72,451,670",4.37,1.21,61.26,"400,332,087","298,808,131"
A039030,이오테크닉스,12,2018,Annual,0.70,,"271,472,082","104,620,808",,"271,472,082","65,272,226",4.09,0.85,44.21,"372,994,875","231,451,204"
A039030,이오테크닉스,12,2019,Annual,0.48,,"180,044,582","67,038,663",,"180,044,582","87,555,460",3.38,0.55,29.28,"383,935,725","142,847,133"
A039030,이오테크닉스,12,2020,Annual,0.75,,"306,018,089","67,396,705",,"306,018,089","82,186,962",4.79,0.89,49.68,"428,391,935","237,433,223"
