Symbol,Name,결산월,회계년,주기,매출채권(천원),매출액(천원),매출원가(천원),유동자산(천원),유형자산(천원),총자산(천원),재고자산(천원),당기순이익(천원),판매비와관리비(천원),유동부채(천원),비유동부채(천원),영업활동으로인한현금흐름(천원),영업이익(천원),유무형자산상각비(천원)
A017390,서울가스,12,2012,Annual,"434,121,386","1,885,154,496","1,724,893,400","700,799,444","530,091,389","1,445,759,061","1,353,457","59,642,648","144,469,566","546,541,647","199,620,188","101,980,399","15,791,530","31,926,524"
A017390,서울가스,12,2013,Annual,"376,928,264","1,885,865,900","1,726,562,185","669,297,440","551,661,484","1,438,420,812","1,374,054","58,516,982","148,223,078","486,165,590","197,127,318","63,015,463","11,080,638","32,325,529"
A017390,서울가스,12,2014,Annual,"408,434,664","1,826,773,812","1,662,259,410","735,662,389","588,750,221","1,516,131,640","1,245,756","52,984,443","160,882,772","506,064,916","206,671,909","49,238,089","3,631,631","30,565,796"
A017390,서울가스,12,2015,Annual,"278,210,337","1,533,173,469","1,377,235,077","612,706,750","572,293,077","1,391,865,004","1,152,691","47,596,883","157,055,604","340,394,580","210,020,125","11,559,807","-1,117,212","29,815,283"
A017390,서울가스,12,2016,Annual,"247,756,550","1,265,359,733","1,104,342,545","654,718,244","569,415,605","1,434,754,075","1,031,446","34,577,043","166,947,352","346,759,374","218,766,475","75,855,655","-5,930,163","29,903,055"
A017390,서울가스,12,2017,Annual,"297,525,096","1,343,898,038","1,170,730,263","748,414,802","562,907,475","1,526,492,796","1,000,246","44,194,936","161,850,680","398,913,382","223,365,429","46,054,781","11,317,096","31,429,967"
A017390,서울가스,12,2018,Annual,"282,507,235","1,382,043,300","1,207,684,890","564,614,968","549,569,858","1,336,535,066","989,394","30,616,561","171,396,626","194,757,610","217,018,599","-158,661,656","2,961,784","31,502,752"
A017390,서울가스,12,2019,Annual,"261,266,822","1,352,527,720","1,167,880,656","708,154,048","550,677,105","1,533,895,557","971,882","14,076,275","174,836,787","327,180,026","276,820,874","208,127,578","9,810,277","34,978,758"
A017390,서울가스,12,2020,Annual,"245,014,113","1,271,968,265","1,085,453,892","833,762,565","551,784,493","1,668,526,429","698,544","153,818,043","179,697,447","377,099,626","270,677,228","53,296,890","6,816,927","37,027,073"
A017390,서울가스,12,2021,Annual,"268,448,369","1,270,955,751","1,096,442,609","704,671,740","538,385,492","1,639,570,978","872,060","8,066,541","180,323,074","357,219,620","258,881,830","95,413","-5,809,932","37,732,519"
A017390,서울가스,12,2022,Annual,"428,101,305","1,716,610,303","1,525,869,626","1,014,960,856","535,714,851","1,847,155,998","1,000,798","17,341,286","187,866,745","551,587,556","259,144,681","87,270,017","2,873,932","37,502,190"
A004380,삼익THK,12,2011,Annual,"56,797,217","276,548,528","219,873,490","149,326,209","105,878,490","266,473,667","56,715,834","24,605,620","21,950,769","132,877,800","17,769,818","55,266,348","34,724,270","8,032,783"
A004380,삼익THK,12,2012,Annual,"32,736,136","186,820,626","158,095,416","83,363,493","106,019,711","201,147,087","35,714,770","9,492,210","24,095,954","52,018,504","31,175,108","23,727,706","4,629,255","9,257,184"
A004380,삼익THK,12,2013,Annual,"39,386,892","196,675,140","154,154,544","95,421,637","100,096,517","205,688,020","38,011,228","17,295,709","24,112,898","56,755,903","18,522,007","26,183,066","18,407,698","9,320,586"
A004380,삼익THK,12,2014,Annual,"40,890,783","188,481,392","147,374,972","107,778,890","98,958,635","216,227,826","40,510,476","17,643,031","24,177,149","66,357,049","10,772,204","21,024,957","16,929,270","8,887,149"
A004380,삼익THK,12,2015,Annual,"41,999,694","230,033,162","179,088,537","110,153,753","100,354,413","219,305,575","46,001,883","17,797,667","26,383,931","57,975,934","10,840,981","22,077,804","24,560,694","8,080,040"
A004380,삼익THK,12,2016,Annual,"67,775,544","251,074,960","201,157,937","154,324,036","98,978,820","262,543,718","68,660,560","16,537,052","28,251,296","92,871,057","9,901,666","-6,750,211","21,665,727","8,948,230"
A004380,삼익THK,12,2017,Annual,0,"371,106,644","304,590,515","157,872,317","138,259,175","306,614,864","70,376,095","28,235,336","31,573,699","92,639,722","32,684,850","41,344,185","34,942,431","9,958,587"
A004380,삼익THK,12,2018,Annual,"46,757,134","283,067,232","227,010,216","174,846,112","170,464,765","356,721,981","92,160,231","18,105,228","30,554,625","105,466,501","63,195,684","21,191,045","25,502,392","11,102,391"
A004380,삼익THK,12,2019,Annual,"53,850,691","232,008,253","194,563,072","177,411,077","205,155,639","392,601,235","102,088,728","3,265,423","29,992,373","127,516,500","76,735,884","-6,994,427","7,452,808","12,404,732"
A004380,삼익THK,12,2020,Annual,"50,538,769","263,856,444","229,890,121","162,922,428","212,269,281","387,615,060","83,124,037","4,458,300","28,229,647","118,202,668","79,436,801","32,690,104","5,736,676","12,257,994"
A004380,삼익THK,12,2021,Annual,"58,545,609","310,484,620","266,953,521","154,051,792","212,486,022","373,714,064","68,652,058","11,611,635","28,721,102","117,106,847","63,701,882","46,661,788","14,809,996","13,456,433"
A004380,삼익THK,12,2022,Annual,"81,285,578","339,133,931","284,526,001","201,698,422","227,393,888","439,293,006","98,822,361","16,418,030","33,938,259","188,122,506","45,178,611","-13,011,686","20,669,671","14,152,746"
A036420,콘텐트리중앙,12,2011,Annual,"27,245,006","60,180,710","26,783,026","43,898,805","39,445,963","203,099,943","1,576,890","3,243,493","29,524,665","105,052,341","11,378,265","1,237,163","3,873,019","1,039,191"
A036420,콘텐트리중앙,12,2012,Annual,"29,363,535","86,149,815","38,410,440","50,698,000","39,031,346","213,047,311","1,681,487","524,719","42,364,038","118,448,961","7,274,892","-585,456","5,375,338","1,585,699"
A036420,콘텐트리중앙,12,2013,Annual,"26,593,002","76,281,285","36,032,663","43,319,386","45,037,622","207,915,246","1,694,543","-18,007,058","40,189,693","113,553,494","22,747,589","-3,736,184","58,928","2,044,371"
A036420,콘텐트리중앙,12,2014,Annual,"19,072,502","51,914,870","26,145,578","24,427,397","43,541,563","181,654,899","1,512,170","-7,201,036","26,859,589","110,270,920","4,835,127","4,708,931","-1,090,298","2,117,387"
A036420,콘텐트리중앙,12,2015,Annual,"11,560,231","1,196,105","124,117","19,654,591","47,881,489","332,858,893","1,390,672","750,199","1,464,033","95,053,260","5,208,667","5,832,895","-392,044","1,574,969"
A036420,콘텐트리중앙,12,2016,Annual,"3,174","1,332,142","75,375","32,091,797","47,914,810","339,020,286",0,"6,991,169","2,665,157","57,449,776","39,626,449","3,342,187","-1,408,389","732,684"
