Symbol,Name,결산월,회계년,주기,총자산회전율(회),총부채회전율(회),총자본회전율(회),자본금회전율(회),매출액(천원),매출채권(천원),매출원가(천원),재고자산(천원)
A022100,포스코DX,12,2013,Annual,1.38,2.13,3.90,16.70,"1,207,033,019","280,014,045","1,055,738,043","22,679,687"
A022100,포스코DX,12,2014,Annual,1.16,2.13,2.56,12.76,"969,869,205","308,010,256","850,011,732","14,688,782"
A022100,포스코DX,12,2015,Annual,1.11,2.10,2.34,11.06,"840,545,682","270,025,679","742,011,202","6,670,827"
A022100,포스코DX,12,2016,Annual,1.28,2.67,2.45,11.40,"866,893,881","276,636,942","748,695,814","3,413,353"
A022100,포스코DX,12,2017,Annual,1.45,3.56,2.45,12.50,"950,592,313","191,525,427","820,313,449","1,084,862"
A022100,포스코DX,12,2018,Annual,1.48,3.59,2.51,12.20,"927,076,974","197,298,080","812,872,650","1,387,029"
A022100,포스코DX,12,2019,Annual,1.51,3.34,2.75,12.76,"969,787,010","237,388,957","838,048,895","2,065,770"
A022100,포스코DX,12,2020,Annual,1.42,3.09,2.62,12.68,"964,202,340","198,156,608","851,001,670","5,540,313"
A022100,포스코DX,12,2021,Annual,1.31,2.89,2.38,11.44,"869,274,144","223,230,356","768,541,324","3,496,020"
A022100,포스코DX,12,2022,Annual,1.54,3.18,2.98,15.16,"1,152,680,199","314,701,979","1,019,604,931","32,219,575"
A086280,현대글로비스,12,2011,Annual,2.88,4.78,7.24,509.12,"9,545,995,021","1,361,698,917","8,743,849,193","407,381,784"
A086280,현대글로비스,12,2012,Annual,2.91,5.03,6.89,626.46,"11,746,035,658","1,387,395,603","10,762,992,488","474,145,641"
A086280,현대글로비스,12,2013,Annual,2.76,5.07,6.05,685.93,"12,861,255,453","1,546,524,231","11,845,660,447","522,141,245"
A086280,현대글로비스,12,2014,Annual,2.47,4.52,5.45,742.51,"13,922,020,908","1,749,055,592","12,902,156,352","645,592,972"
A086280,현대글로비스,12,2015,Annual,2.15,3.76,5.00,782.46,"14,671,209,543","1,672,256,600","13,555,221,777","771,931,461"
A086280,현대글로비스,12,2016,Annual,1.99,3.46,4.67,818.17,"15,340,631,692","1,979,948,832","14,234,855,434","690,264,101"
A086280,현대글로비스,12,2017,Annual,2.03,3.77,4.38,872.44,"16,358,289,275","1,988,538,567","15,226,229,589","660,684,205"
A086280,현대글로비스,12,2018,Annual,2.00,3.91,4.09,899.50,"16,865,565,663","1,992,607,563","15,714,725,336","911,946,972"
A086280,현대글로비스,12,2019,Annual,1.94,3.70,4.09,974.40,"18,270,050,466","2,069,840,336","16,903,573,993","1,033,140,640"
A086280,현대글로비스,12,2020,Annual,1.57,2.93,3.39,881.06,"16,519,884,633","2,165,192,475","15,229,428,577","1,115,337,771"
A086280,현대글로비스,12,2021,Annual,1.89,3.57,4.00,"1,161.58","21,779,581,931","2,579,218,048","20,287,858,401","1,370,430,331"
A086280,현대글로비스,12,2022,Annual,2.07,4.04,4.25,"1,439.03","26,981,880,971","3,101,947,683","24,680,497,659","1,452,283,025"
A001570,금양,12,2011,Annual,0.92,1.43,2.54,5.58,"109,810,009","29,394,534","92,297,702","14,236,426"
A001570,금양,12,2012,Annual,0.95,1.47,2.71,6.25,"122,905,331","26,504,403","102,473,314","13,739,318"
A001570,금양,12,2013,Annual,1.14,1.70,3.43,7.94,"156,304,448","43,299,371","135,822,559","20,839,381"
A001570,금양,12,2014,Annual,1.03,1.46,3.52,8.06,"158,550,531","34,597,563","138,461,108","25,271,205"
A001570,금양,12,2015,Annual,0.98,1.42,3.10,8.08,"158,999,533","36,581,063","136,083,219","21,613,668"
A001570,금양,12,2016,Annual,0.98,1.34,3.65,8.57,"168,681,746","38,906,502","137,529,479","19,103,181"
A001570,금양,12,2017,Annual,0.96,1.28,3.92,8.79,"180,373,683","46,966,562","144,907,191","22,603,043"
A001570,금양,12,2018,Annual,1.03,1.56,3.00,9.56,"205,441,375","42,202,543","165,009,911","24,409,366"
A001570,금양,12,2019,Annual,0.81,1.23,2.34,7.92,"172,723,864","44,431,880","136,904,841","27,024,408"
A001570,금양,12,2020,Annual,0.79,1.19,2.38,8.00,"176,169,811","40,588,274","144,903,187","29,788,831"
A001570,금양,12,2021,Annual,0.81,1.29,2.21,9.37,"217,583,032","58,845,936","175,619,843","60,030,850"
A001570,금양,12,2022,Annual,0.68,1.13,1.73,7.59,"202,836,313","36,691,873","153,763,777","52,018,776"
A066970,엘앤에프,12,2011,Annual,2.03,3.66,4.56,40.92,"210,921,751","11,655,440","197,947,663","30,336,941"
A066970,엘앤에프,12,2012,Annual,1.70,2.68,4.68,43.49,"224,190,409","16,851,672","211,685,080","31,915,594"
A066970,엘앤에프,12,2013,Annual,1.50,2.26,4.50,43.84,"225,969,174","18,771,702","217,086,958","28,528,392"
A066970,엘앤에프,12,2014,Annual,1.53,2.36,4.36,40.08,"245,675,375","27,358,847","230,894,394","35,021,240"
A066970,엘앤에프,12,2015,Annual,1.42,2.23,3.92,33.10,"235,128,641","20,520,376","224,958,681","37,347,477"
A066970,엘앤에프,12,2016,Annual,1.35,2.22,3.41,26.71,"249,732,039","28,636,547","222,030,322","63,814,523"
A066970,엘앤에프,12,2017,Annual,1.72,3.13,3.83,33.75,"403,019,916","43,953,836","357,904,622","84,581,602"
A066970,엘앤에프,12,2018,Annual,1.70,3.06,3.80,41.00,"505,664,305","49,138,625","457,261,052","121,263,134"
A066970,엘앤에프,12,2019,Annual,0.84,1.33,2.28,25.31,"313,264,235","57,388,910","298,054,016","138,611,898"
A066970,엘앤에프,12,2020,Annual,0.81,1.29,2.16,26.97,"356,105,956","59,076,140","332,845,946","105,275,505"
A066970,엘앤에프,12,2021,Annual,0.97,1.67,2.33,61.76,"970,760,874","268,241,206","892,626,596","261,549,651"
A066970,엘앤에프,12,2022,Annual,1.71,2.95,4.05,219.53,"3,887,293,713","797,106,768","3,535,891,252","1,227,669,370"
A000100,유한양행,12,2011,Annual,0.52,3.50,0.61,12.21,"679,230,982","162,531,040","426,187,972","114,250,936"
A000100,유한양행,12,2012,Annual,0.57,3.77,0.67,13.64,"776,457,613","159,811,655","530,891,698","133,602,623"
A000100,유한양행,12,2013,Annual,0.65,3.77,0.78,16.57,"943,609,131","203,844,478","649,836,701","141,440,996"
A000100,유한양행,12,2014,Annual,0.65,3.25,0.81,17.87,"1,017,491,786","218,848,738","702,056,684","172,305,190"
A000100,유한양행,12,2015,Annual,0.65,2.64,0.86,19.82,"1,128,731,292","214,159,392","788,062,467","242,348,900"
A000100,유한양행,12,2016,Annual,0.67,2.48,0.92,23.19,"1,320,797,335","235,586,779","931,355,855","310,649,129"
A000100,유한양행,12,2017,Annual,0.71,2.82,0.94,25.11,"1,462,248,030","283,714,874","1,037,623,911","271,183,981"
A000100,유한양행,12,2018,Annual,0.71,3.01,0.93,24.95,"1,518,822,858","343,186,494","1,105,030,835","248,860,494"
A000100,유한양행,12,2019,Annual,0.69,2.99,0.90,23.26,"1,480,353,607","397,149,392","1,049,502,433","186,909,878"
A000100,유한양행,12,2020,Annual,0.72,3.19,0.93,24.34,"1,619,865,303","442,703,669","1,061,442,785","251,985,114"
A000100,유한양행,12,2021,Annual,0.69,3.14,0.89,24.25,"1,687,810,318","461,094,533","1,163,159,788","274,780,428"
A000100,유한양행,12,2022,Annual,0.72,3.58,0.90,24.40,"1,775,846,943","496,683,358","1,257,645,401","275,215,898"
A051900,LG생활건강,12,2011,Annual,1.60,2.87,3.63,39.01,"3,456,071,746","326,785,361","1,736,266,575","305,919,167"
A051900,LG생활건강,12,2012,Annual,1.52,2.78,3.34,43.98,"3,896,218,098","370,286,363","1,903,208,877","316,733,426"
A051900,LG생활건강,12,2013,Annual,1.40,2.51,3.15,48.83,"4,326,255,199","410,539,863","2,031,822,797","375,625,065"
A051900,LG생활건강,12,2014,Annual,1.29,2.29,2.94,52.79,"4,677,009,785","408,255,827","2,101,828,378","411,298,662"
A051900,LG생활건강,12,2015,Annual,1.33,2.53,2.79,60.15,"5,328,492,268","419,714,948","2,226,175,065","441,258,251"
A051900,LG생활건강,12,2016,Annual,1.40,3.06,2.57,68.79,"6,094,059,406","469,645,559","2,434,038,196","535,885,784"
A051900,LG생활건강,12,2017,Annual,1.32,3.41,2.14,68.91,"6,105,137,371","522,800,477","2,609,677,025","546,905,773"
A051900,LG생활건강,12,2018,Annual,1.34,3.99,2.02,76.17,"6,747,536,802","556,088,000","2,696,414,092","614,747,847"
A051900,LG생활건강,12,2019,Annual,1.31,3.90,1.96,86.75,"7,685,424,230","611,044,865","2,917,246,275","746,323,199"
A051900,LG생활건강,12,2020,Annual,1.18,3.73,1.73,88.55,"7,844,506,057","585,564,696","2,962,930,554","808,965,988"
A051900,LG생활건강,12,2021,Annual,1.13,4.04,1.56,91.34,"8,091,511,298","554,857,051","3,039,883,555","1,000,655,942"
A051900,LG생활건강,12,2022,Annual,0.97,3.69,1.31,81.11,"7,185,759,184","550,861,506","3,168,512,093","955,432,615"
