Symbol,Name,결산월,회계년,주기,총부채(천원)
A010970,한주화학,12,2020,Annual,
A010970,한주화학,12,2021,Annual,
A010970,한주화학,12,2022,Annual,
A011020,코오롱유화,12,2011,Annual,
A011020,코오롱유화,12,2012,Annual,
A011020,코오롱유화,12,2013,Annual,
A011020,코오롱유화,12,2014,Annual,
A011020,코오롱유화,12,2015,Annual,
A011020,코오롱유화,12,2016,Annual,
A011020,코오롱유화,12,2017,Annual,
A011020,코오롱유화,12,2018,Annual,
A011020,코오롱유화,12,2019,Annual,
A011020,코오롱유화,12,2020,Annual,
A011020,코오롱유화,12,2021,Annual,
A011020,코오롱유화,12,2022,Annual,
A011050,케드콤,12,2011,Annual,
A011050,케드콤,12,2012,Annual,
A011050,케드콤,12,2013,Annual,
A011050,케드콤,12,2014,Annual,
A011050,케드콤,12,2015,Annual,
A011050,케드콤,12,2016,Annual,
A011050,케드콤,12,2017,Annual,
A011050,케드콤,12,2018,Annual,
A011050,케드콤,12,2019,Annual,
A011050,케드콤,12,2020,Annual,
A011050,케드콤,12,2021,Annual,
A011050,케드콤,12,2022,Annual,
A011160,두산건설,12,2011,Annual,"3,822,016,733"
A011160,두산건설,12,2012,Annual,"3,457,955,343"
A011160,두산건설,12,2013,Annual,"2,934,973,165"
A011160,두산건설,12,2014,Annual,"3,170,495,048"
A011160,두산건설,12,2015,Annual,"2,811,404,811"
A011160,두산건설,12,2016,Annual,"1,965,358,893"
A011160,두산건설,12,2017,Annual,"1,880,195,446"
A011160,두산건설,12,2018,Annual,"2,031,409,712"
A011160,두산건설,12,2019,Annual,"1,763,225,884"
A011160,두산건설,12,2020,Annual,"1,253,762,429"
A011160,두산건설,12,2021,Annual,"1,303,487,966"
A011160,두산건설,12,2022,Annual,"1,442,192,439"
A011180,동국방직,12,2011,Annual,
A011180,동국방직,12,2012,Annual,
A011180,동국방직,12,2013,Annual,
A011180,동국방직,12,2014,Annual,
A011180,동국방직,12,2015,Annual,
A011180,동국방직,12,2016,Annual,
A011180,동국방직,12,2017,Annual,
A011180,동국방직,12,2018,Annual,
A011180,동국방직,12,2019,Annual,
A011180,동국방직,12,2020,Annual,
A011180,동국방직,12,2021,Annual,
A011180,동국방직,12,2022,Annual,
A011290,갑을방적,12,2011,Annual,
A011290,갑을방적,12,2012,Annual,
A011290,갑을방적,12,2013,Annual,
A011290,갑을방적,12,2014,Annual,
A011290,갑을방적,12,2015,Annual,
A011290,갑을방적,12,2016,Annual,
A011290,갑을방적,12,2017,Annual,
A011290,갑을방적,12,2018,Annual,
A011290,갑을방적,12,2019,Annual,
A011290,갑을방적,12,2020,Annual,
A011290,갑을방적,12,2021,Annual,
A011290,갑을방적,12,2022,Annual,
A011450,송원칼라,12,2011,Annual,
A011450,송원칼라,12,2012,Annual,
A011450,송원칼라,12,2013,Annual,
A011450,송원칼라,12,2014,Annual,
A011450,송원칼라,12,2015,Annual,
A011450,송원칼라,12,2016,Annual,
