Symbol,Name,결산월,회계년,주기,유형자산구성비율(%),무형자산구성비율(%),*판관비율(%),타인자본비율(%),부채비율(%),현금및현금성자산구성비율(%),영업이익(천원),이자비용(천원),유동자산(천원),유동부채(천원),당좌자산(천원)
A005490,POSCO홀딩스,12,2015,Annual,42.93,7.97,7.09,43.95,78.41,6.06,"2,410,042,582",0,"29,180,888,772","20,130,925,777","20,955,683,537"
A005490,POSCO홀딩스,12,2016,Annual,42.34,7.63,7.24,42.53,74.01,3.07,"2,844,324,579",0,"29,303,834,312","18,915,396,087","20,252,113,146"
A005490,POSCO홀딩스,12,2017,Annual,40.35,7.53,6.16,39.94,66.49,3.31,"4,621,833,654",0,"31,127,418,057","18,946,015,814","21,176,463,371"
A005490,POSCO홀딩스,12,2018,Annual,38.36,6.61,3.74,40.24,67.34,3.38,"5,542,599,677",0,"33,651,002,030","18,937,985,495","22,151,073,714"
A005490,POSCO홀딩스,12,2019,Annual,37.85,6.21,3.7,39.55,65.41,4.45,"3,868,854,559",0,"34,842,373,722","16,323,689,975","23,922,053,960"
A005490,POSCO홀딩스,12,2020,Annual,37.17,5.63,4.01,39.72,65.89,6.01,"2,403,035,193",0,"35,830,815,053","16,854,968,423","26,779,024,650"
A005490,POSCO홀딩스,12,2021,Annual,32.36,4.55,3.46,40.09,66.9,5.22,"9,238,089,233",0,"46,621,630,511","21,083,623,165","31,406,532,106"
A005490,POSCO홀딩스,12,2022,Annual,32.3,4.92,3.3,40.8,68.92,8.18,"4,850,053,016",0,"47,649,465,547","23,188,189,987","32,177,048,422"
A035420,NAVER,12,2011,Annual,16.18,5.85,68.87,33.5,50.37,19.65,"660,352,453","11,732,106","1,431,170,126","532,803,324","1,431,170,126"
A035420,NAVER,12,2012,Annual,19.32,4.15,71.02,34.97,53.78,13.51,"521,187,072","9,333,708","1,738,943,198","645,391,208","1,738,943,198"
A035420,NAVER,12,2013,Annual,29.34,4.97,77.58,45.31,82.86,16.13,"506,538,818","8,133,187","1,336,088,791","832,373,207","1,336,088,791"
A035420,NAVER,12,2014,Annual,26.54,3.56,72.51,47.05,88.85,21.29,"758,199,066","5,725,630","1,945,783,670","1,080,709,107","1,929,266,792"
A035420,NAVER,12,2015,Annual,19.69,2.36,74.49,48.25,93.25,18.55,"830,224,961","5,743,347","2,639,382,643","1,683,655,880","2,623,875,710"
A035420,NAVER,12,2016,Annual,13.55,1.76,72.6,35.18,54.27,27.1,"1,102,040,476","6,070,381","4,199,933,247","1,803,925,551","4,189,587,148"
A035420,NAVER,12,2017,Annual,14.34,4.23,74.8,33.84,51.16,23.79,"1,179,187,806","568,580","4,784,227,777","2,302,730,294","4,748,023,263"
A035420,NAVER,12,2018,Annual,14.75,3.11,83.13,39.79,66.09,33.63,"942,532,562","13,723,512","5,385,569,586","2,619,671,653","5,328,129,294"
