Symbol,Name,결산월,회계년,주기,총자본(천원),총부채(천원)
A051910,LG화학,12,2021,Annual,"23,209,988,000","27,925,314,000"
A051910,LG화학,12,2022,Annual,"37,481,127,000","30,492,696,000"
A006400,삼성SDI,12,2011,Annual,"6,314,527,221","2,212,883,535"
A006400,삼성SDI,12,2012,Annual,"7,564,481,602","3,330,605,690"
A006400,삼성SDI,12,2013,Annual,"7,542,416,431","3,013,254,459"
A006400,삼성SDI,12,2014,Annual,"11,826,911,292","4,141,638,654"
A006400,삼성SDI,12,2015,Annual,"11,253,192,853","4,972,110,605"
A006400,삼성SDI,12,2016,Annual,"10,964,110,227","3,936,201,007"
A006400,삼성SDI,12,2017,Annual,"11,451,999,497","4,289,705,881"
A006400,삼성SDI,12,2018,Annual,"12,225,219,216","7,124,501,968"
A006400,삼성SDI,12,2019,Annual,"12,660,345,195","7,191,751,253"
A006400,삼성SDI,12,2020,Annual,"13,358,926,888","8,175,305,379"
A006400,삼성SDI,12,2021,Annual,"15,196,699,315","10,636,493,682"
A006400,삼성SDI,12,2022,Annual,"17,217,502,156","13,040,023,015"
A105560,KB금융,12,2011,Annual,"23,099,795,000","254,501,022,000"
A105560,KB금융,12,2012,Annual,"24,763,141,000","260,987,913,000"
A105560,KB금융,12,2013,Annual,"25,982,274,000","266,185,324,000"
A105560,KB금융,12,2014,Annual,"27,512,672,000","280,843,036,000"
A105560,KB금융,12,2015,Annual,"28,902,722,000","300,162,745,000"
A105560,KB금융,12,2016,Annual,"31,261,403,000","344,412,253,000"
A105560,KB금융,12,2017,Annual,"34,044,829,000","402,740,780,000"
A105560,KB금융,12,2018,Annual,"35,713,027,000","443,875,271,000"
A105560,KB금융,12,2019,Annual,"39,119,325,000","479,418,792,000"
A105560,KB금융,12,2020,Annual,"43,402,357,000","567,317,587,000"
A105560,KB금융,12,2021,Annual,"48,293,920,000","615,601,914,000"
A105560,KB금융,12,2022,Annual,"54,107,801,000","634,557,025,000"
A028260,삼성물산,12,2011,Annual,"3,774,252,990","2,133,746,517"
A028260,삼성물산,12,2012,Annual,"3,805,207,476","2,837,077,769"
A028260,삼성물산,12,2013,Annual,"3,949,133,030","4,604,755,902"
A028260,삼성물산,12,2014,Annual,"5,285,289,848","4,226,141,563"
A028260,삼성물산,12,2015,Annual,"18,313,935,618","24,047,495,347"
A028260,삼성물산,12,2016,Annual,"21,105,710,687","23,352,804,703"
A028260,삼성물산,12,2017,Annual,"25,151,250,126","23,897,652,811"
A028260,삼성물산,12,2018,Annual,"22,548,935,048","19,857,716,710"
A028260,삼성물산,12,2019,Annual,"26,692,096,307","19,213,420,293"
A028260,삼성물산,12,2020,Annual,"32,945,482,243","21,386,258,023"
A028260,삼성물산,12,2021,Annual,"33,352,444,157","21,892,978,957"
A028260,삼성물산,12,2022,Annual,"31,964,121,381","27,017,371,086"
A012330,현대모비스,12,2011,Annual,"13,794,556,000","8,781,092,000"
A012330,현대모비스,12,2012,Annual,"17,039,714,000","13,007,282,000"
A012330,현대모비스,12,2013,Annual,"20,193,186,000","14,237,123,000"
A012330,현대모비스,12,2014,Annual,"23,286,103,000","15,825,813,000"
A012330,현대모비스,12,2015,Annual,"25,676,240,000","12,098,593,000"
A012330,현대모비스,12,2016,Annual,"28,557,989,000","13,153,619,000"
A012330,현대모비스,12,2017,Annual,"29,358,958,000","12,377,861,000"
A012330,현대모비스,12,2018,Annual,"30,703,428,000","12,367,704,000"
A012330,현대모비스,12,2019,Annual,"32,409,622,000","14,196,442,000"
A012330,현대모비스,12,2020,Annual,"33,328,123,000","15,169,553,000"
A012330,현대모비스,12,2021,Annual,"35,357,474,000","16,125,063,000"
A012330,현대모비스,12,2022,Annual,"37,807,632,000","17,599,066,000"
A055550,신한지주,12,2011,Annual,"26,858,805,000","261,182,991,000"
A055550,신한지주,12,2012,Annual,"28,913,144,000","276,026,081,000"
A055550,신한지주,12,2013,Annual,"29,855,138,000","281,435,415,000"
A055550,신한지주,12,2014,Annual,"30,514,908,000","307,506,896,000"
A055550,신한지주,12,2015,Annual,"31,813,056,000","338,734,947,000"
