Symbol,Name,결산월,회계년,주기,총자본(천원)
A005380,현대차,12,2015,Annual,"66,881,401,000"
A005380,현대차,12,2016,Annual,"72,344,578,000"
A005380,현대차,12,2017,Annual,"74,757,354,000"
A005380,현대차,12,2018,Annual,"73,896,010,000"
A005380,현대차,12,2019,Annual,"76,365,754,000"
A005380,현대차,12,2020,Annual,"76,340,970,000"
A005380,현대차,12,2021,Annual,"82,615,789,000"
A005380,현대차,12,2022,Annual,"90,896,545,000"
A000270,기아,12,2011,Annual,"13,509,710,000"
A000270,기아,12,2012,Annual,"16,848,062,000"
A000270,기아,12,2013,Annual,"20,254,795,000"
A000270,기아,12,2014,Annual,"22,483,865,000"
A000270,기아,12,2015,Annual,"24,204,031,000"
A000270,기아,12,2016,Annual,"26,579,424,000"
A000270,기아,12,2017,Annual,"26,861,177,000"
A000270,기아,12,2018,Annual,"27,243,464,000"
A000270,기아,12,2019,Annual,"28,978,138,000"
A000270,기아,12,2020,Annual,"29,891,672,000"
A000270,기아,12,2021,Annual,"34,912,556,000"
A000270,기아,12,2022,Annual,"39,343,081,000"
A068270,셀트리온,12,2011,Annual,"899,546,488"
A068270,셀트리온,12,2012,Annual,"1,050,148,749"
A068270,셀트리온,12,2013,Annual,"1,087,131,958"
A068270,셀트리온,12,2014,Annual,"1,347,781,345"
A068270,셀트리온,12,2015,Annual,"1,702,780,455"
A068270,셀트리온,12,2016,Annual,"2,060,873,200"
A068270,셀트리온,12,2017,Annual,"2,410,497,675"
A068270,셀트리온,12,2018,Annual,"2,595,259,393"
A068270,셀트리온,12,2019,Annual,"2,872,913,211"
A068270,셀트리온,12,2020,Annual,"3,427,580,354"
A068270,셀트리온,12,2021,Annual,"4,050,374,687"
A068270,셀트리온,12,2022,Annual,"4,274,204,270"
A005490,POSCO홀딩스,12,2011,Annual,"40,729,920,334"
A005490,POSCO홀딩스,12,2012,Annual,"42,429,418,415"
A005490,POSCO홀딩스,12,2013,Annual,"45,822,030,030"
A005490,POSCO홀딩스,12,2014,Annual,"45,291,364,178"
A005490,POSCO홀딩스,12,2015,Annual,"45,070,221,970"
A005490,POSCO홀딩스,12,2016,Annual,"45,838,394,306"
A005490,POSCO홀딩스,12,2017,Annual,"47,464,008,541"
A005490,POSCO홀딩스,12,2018,Annual,"46,759,550,870"
A005490,POSCO홀딩스,12,2019,Annual,"47,794,706,820"
A005490,POSCO홀딩스,12,2020,Annual,"47,674,592,085"
A005490,POSCO홀딩스,12,2021,Annual,"54,804,943,352"
A005490,POSCO홀딩스,12,2022,Annual,"58,257,400,589"
A035420,NAVER,12,2011,Annual,"1,577,862,030"
A035420,NAVER,12,2012,Annual,"1,903,568,275"
A035420,NAVER,12,2013,Annual,"1,475,309,016"
A035420,NAVER,12,2014,Annual,"1,797,418,215"
A035420,NAVER,12,2015,Annual,"2,269,578,519"
A035420,NAVER,12,2016,Annual,"4,129,598,863"
A035420,NAVER,12,2017,Annual,"5,305,186,235"
A035420,NAVER,12,2018,Annual,"5,949,140,513"
A035420,NAVER,12,2019,Annual,"6,503,926,069"
A035420,NAVER,12,2020,Annual,"8,255,132,035"
A035420,NAVER,12,2021,Annual,"24,027,376,349"
A035420,NAVER,12,2022,Annual,"23,450,322,480"
A051910,LG화학,12,2011,Annual,"9,707,679,000"
A051910,LG화학,12,2012,Annual,"10,765,355,000"
A051910,LG화학,12,2013,Annual,"11,725,662,000"
A051910,LG화학,12,2014,Annual,"12,265,852,000"
A051910,LG화학,12,2015,Annual,"13,103,522,000"
A051910,LG화학,12,2016,Annual,"14,050,967,000"
A051910,LG화학,12,2017,Annual,"16,338,577,000"
A051910,LG화학,12,2018,Annual,"17,322,128,000"
A051910,LG화학,12,2019,Annual,"17,383,789,000"
A051910,LG화학,12,2020,Annual,"18,790,440,000"
A051910,LG화학,12,2021,Annual,"23,209,988,000"
A051910,LG화학,12,2022,Annual,"37,481,127,000"
A006400,삼성SDI,12,2011,Annual,"6,314,527,221"
A006400,삼성SDI,12,2012,Annual,"7,564,481,602"
A006400,삼성SDI,12,2013,Annual,"7,542,416,431"
A006400,삼성SDI,12,2014,Annual,"11,826,911,292"
A006400,삼성SDI,12,2015,Annual,"11,253,192,853"
A006400,삼성SDI,12,2016,Annual,"10,964,110,227"
A006400,삼성SDI,12,2017,Annual,"11,451,999,497"
A006400,삼성SDI,12,2018,Annual,"12,225,219,216"
A006400,삼성SDI,12,2019,Annual,"12,660,345,195"
A006400,삼성SDI,12,2020,Annual,"13,358,926,888"
A006400,삼성SDI,12,2021,Annual,"15,196,699,315"
A006400,삼성SDI,12,2022,Annual,"17,217,502,156"
A105560,KB금융,12,2011,Annual,"23,099,795,000"
A105560,KB금융,12,2012,Annual,"24,763,141,000"
A105560,KB금융,12,2013,Annual,"25,982,274,000"
A105560,KB금융,12,2014,Annual,"27,512,672,000"
A105560,KB금융,12,2015,Annual,"28,902,722,000"
A105560,KB금융,12,2016,Annual,"31,261,403,000"
A105560,KB금융,12,2017,Annual,"34,044,829,000"
A105560,KB금융,12,2018,Annual,"35,713,027,000"
A105560,KB금융,12,2019,Annual,"39,119,325,000"
A105560,KB금융,12,2020,Annual,"43,402,357,000"
A105560,KB금융,12,2021,Annual,"48,293,920,000"
A105560,KB금융,12,2022,Annual,"54,107,801,000"
A028260,삼성물산,12,2011,Annual,"3,774,252,990"
A028260,삼성물산,12,2012,Annual,"3,805,207,476"
A028260,삼성물산,12,2013,Annual,"3,949,133,030"
A028260,삼성물산,12,2014,Annual,"5,285,289,848"
A028260,삼성물산,12,2015,Annual,"18,313,935,618"
A028260,삼성물산,12,2016,Annual,"21,105,710,687"
A028260,삼성물산,12,2017,Annual,"25,151,250,126"
A028260,삼성물산,12,2018,Annual,"22,548,935,048"
A028260,삼성물산,12,2019,Annual,"26,692,096,307"
A028260,삼성물산,12,2020,Annual,"32,945,482,243"
A028260,삼성물산,12,2021,Annual,"33,352,444,157"
A028260,삼성물산,12,2022,Annual,"31,964,121,381"
A012330,현대모비스,12,2011,Annual,"13,794,556,000"
A012330,현대모비스,12,2012,Annual,"17,039,714,000"
A012330,현대모비스,12,2013,Annual,"20,193,186,000"
A012330,현대모비스,12,2014,Annual,"23,286,103,000"
A012330,현대모비스,12,2015,Annual,"25,676,240,000"
A012330,현대모비스,12,2016,Annual,"28,557,989,000"
A012330,현대모비스,12,2017,Annual,"29,358,958,000"
A012330,현대모비스,12,2018,Annual,"30,703,428,000"
A012330,현대모비스,12,2019,Annual,"32,409,622,000"
A012330,현대모비스,12,2020,Annual,"33,328,123,000"
A012330,현대모비스,12,2021,Annual,"35,357,474,000"
A012330,현대모비스,12,2022,Annual,"37,807,632,000"
A055550,신한지주,12,2011,Annual,"26,858,805,000"
A055550,신한지주,12,2012,Annual,"28,913,144,000"
A055550,신한지주,12,2013,Annual,"29,855,138,000"
A055550,신한지주,12,2014,Annual,"30,514,908,000"
A055550,신한지주,12,2015,Annual,"31,813,056,000"
A055550,신한지주,12,2016,Annual,"31,744,980,000"
A055550,신한지주,12,2017,Annual,"33,703,618,000"
A055550,신한지주,12,2018,Annual,"36,651,430,000"
A055550,신한지주,12,2019,Annual,"41,930,381,000"
A055550,신한지주,12,2020,Annual,"46,356,858,000"
A055550,신한지주,12,2021,Annual,"49,538,422,000"
A055550,신한지주,12,2022,Annual,"53,423,558,000"
A035720,카카오,12,2011,Annual,"456,249,146"
A035720,카카오,12,2012,Annual,"519,927,883"
A035720,카카오,12,2013,Annual,"177,256,626"
A035720,카카오,12,2014,Annual,"2,463,228,067"
A035720,카카오,12,2015,Annual,"2,585,474,996"
A035720,카카오,12,2016,Annual,"3,702,943,851"
A035720,카카오,12,2017,Annual,"4,462,922,772"
A035720,카카오,12,2018,Annual,"5,627,157,564"
A035720,카카오,12,2019,Annual,"5,728,528,965"
A035720,카카오,12,2020,Annual,"7,411,759,473"
A035720,카카오,12,2021,Annual,"13,568,333,646"
A035720,카카오,12,2022,Annual,"13,515,717,385"
A003670,포스코퓨처엠,12,2011,Annual,"328,947,224"
A003670,포스코퓨처엠,12,2012,Annual,"398,251,922"
A003670,포스코퓨처엠,12,2013,Annual,"452,410,639"
A003670,포스코퓨처엠,12,2014,Annual,"514,814,528"
A003670,포스코퓨처엠,12,2015,Annual,"538,224,659"
A003670,포스코퓨처엠,12,2016,Annual,"569,399,656"
A003670,포스코퓨처엠,12,2017,Annual,"652,189,727"
A003670,포스코퓨처엠,12,2018,Annual,"758,131,714"
A003670,포스코퓨처엠,12,2019,Annual,"1,006,317,943"
A003670,포스코퓨처엠,12,2020,Annual,"1,023,617,314"
A003670,포스코퓨처엠,12,2021,Annual,"2,438,429,932"
A003670,포스코퓨처엠,12,2022,Annual,"2,650,644,639"
A032830,삼성생명,3,2011,Annual,"18,113,192,000"
A032830,삼성생명,3,2012,Annual,"21,780,967,000"
A032830,삼성생명,12,2013,Annual,"19,030,391,000"
A032830,삼성생명,12,2014,Annual,"22,284,739,000"
A032830,삼성생명,12,2015,Annual,"23,721,745,000"
A032830,삼성생명,12,2016,Annual,"28,308,448,000"
A032830,삼성생명,12,2017,Annual,"31,121,572,000"
A032830,삼성생명,12,2018,Annual,"30,505,459,000"
A032830,삼성생명,12,2019,Annual,"37,316,405,000"
A032830,삼성생명,12,2020,Annual,"43,610,634,000"
A032830,삼성생명,12,2021,Annual,"39,625,367,000"
A032830,삼성생명,12,2022,Annual,"41,562,020,000"
A086790,하나금융지주,12,2011,Annual,"14,820,938,000"
A086790,하나금융지주,12,2012,Annual,"20,342,437,000"
A086790,하나금융지주,12,2013,Annual,"20,889,625,000"
A086790,하나금융지주,12,2014,Annual,"21,893,642,000"
A086790,하나금융지주,12,2015,Annual,"22,971,744,000"
A086790,하나금융지주,12,2016,Annual,"23,390,038,000"
A086790,하나금융지주,12,2017,Annual,"24,827,944,000"
A086790,하나금융지주,12,2018,Annual,"27,108,460,000"
A086790,하나금융지주,12,2019,Annual,"28,984,773,000"
A086790,하나금융지주,12,2020,Annual,"31,600,288,000"
A086790,하나금융지주,12,2021,Annual,"35,499,340,000"
A086790,하나금융지주,12,2022,Annual,"37,628,148,000"
A066570,LG전자,12,2011,Annual,"13,148,248,000"
A066570,LG전자,12,2012,Annual,"12,705,747,000"
A066570,LG전자,12,2013,Annual,"12,689,369,000"
A066570,LG전자,12,2014,Annual,"12,991,097,000"
A066570,LG전자,12,2015,Annual,"12,983,487,000"
