Symbol,Name,결산월,회계년,주기,매출액(천원),매출채권(천원),매출원가(천원),유동자산(천원),재고자산(천원),유형자산(천원),총자산(천원),판매비와관리비(천원),당기순이익(천원),유동부채(천원),비유동부채(천원),영업활동으로인한현금흐름(천원),영업이익(천원),유무형자산상각비(천원)
A002390,한독,12,2011,Annual,"333,059,365","131,533,928","208,068,608","197,901,949","48,094,581","128,713,644","408,212,956","102,594,258","16,573,866","96,388,009","33,488,425","48,084,918","22,396,499","5,029,054"
A002390,한독,12,2012,Annual,"314,647,673","115,895,283","215,161,319","180,790,564","55,166,227","133,737,310","436,393,122","90,888,138","5,768,269","97,153,544","51,987,498","12,275,221","8,598,216","5,279,439"
A002390,한독,12,2013,Annual,"327,936,251","125,747,117","228,815,516","204,828,306","57,298,948","132,818,716","473,529,212","91,658,515","12,309,555","125,832,809","53,419,998","9,278,934","7,462,220","4,555,740"
A002390,한독,12,2014,Annual,"348,310,911","111,458,612","233,913,863","190,133,343","59,083,299","133,390,257","515,487,015","104,082,069","1,473,262","116,004,271","91,708,627","36,562,091","10,314,980","6,645,042"
A002390,한독,12,2015,Annual,"358,447,724","123,890,280","238,210,291","200,233,450","53,851,450","138,390,640","530,587,277","114,016,175","-1,802,720","122,142,364","104,739,331","14,640,168","6,221,258","7,398,118"
A002390,한독,12,2016,Annual,"396,134,014","132,304,857","268,623,976","242,539,958","71,618,838","154,543,486","622,848,956","123,869,731","-7,400,629","192,862,728","140,735,881","-8,501,956","3,640,307","7,652,037"
A002390,한독,12,2017,Annual,"417,970,014","132,791,732","285,109,722","261,988,397","68,175,578","162,092,689","639,346,109","134,730,914","3,453,096","197,453,859","151,180,869","6,790,746","-1,870,621","9,892,399"
A002390,한독,12,2018,Annual,"446,731,041","139,492,341","288,960,734","283,789,995","77,001,044","164,526,665","652,616,127","135,689,108","7,062,695","257,469,617","81,770,626","29,455,780","22,081,199","10,006,107"
A002390,한독,12,2019,Annual,"473,000,100","154,505,693","307,002,271","309,606,728","94,698,967","167,481,779","748,667,226","138,530,560","33,925,733","267,891,600","136,780,784","8,798,266","27,467,270","11,595,508"
A002390,한독,12,2020,Annual,"503,611,880","166,605,373","335,220,617","328,222,220","83,734,778","174,065,651","818,926,687","140,014,948","26,978,482","227,696,832","209,380,926","24,341,172","28,376,315","11,064,480"
A002390,한독,12,2021,Annual,"517,641,069","164,430,275","350,092,846","325,526,438","84,097,310","209,243,335","841,561,832","139,541,873","3,288,807","277,786,755","179,778,666","37,229,142","28,006,350","11,019,133"
A002390,한독,12,2022,Annual,"543,759,152","165,141,225","370,045,336","354,171,988","92,463,061","220,203,408","871,106,170","145,217,630","10,595,833","270,930,451","218,319,677","30,519,189","28,496,186","10,401,198"
A016450,한세예스24홀딩스,12,2011,Annual,"1,351,122,900","63,751,856","1,084,591,987","441,702,358","163,349,613","106,241,672","693,150,743","189,780,168","53,426,094","368,909,133","41,064,833","123,837,648","76,750,744","4,266,089"
A016450,한세예스24홀딩스,12,2012,Annual,"1,470,986,929","83,375,907","1,174,336,659","492,735,181","166,135,724","119,637,735","777,412,081","227,377,256","57,745,753","379,717,882","66,043,332","48,984,237","69,273,015","5,479,517"
A016450,한세예스24홀딩스,12,2013,Annual,"1,571,238,706","89,047,496","1,273,626,904","536,847,881","189,833,542","141,946,762","873,460,346","234,699,835","45,709,951","416,125,826","85,414,258","23,231,178","62,911,967","4,686,212"
A016450,한세예스24홀딩스,12,2014,Annual,"1,728,424,959","138,603,199","1,350,687,618","583,161,949","187,690,674","216,802,885","1,121,319,003","264,002,026","77,765,541","549,560,178","125,494,898","112,366,354","113,735,315","9,175,809"
A016450,한세예스24홀딩스,12,2015,Annual,"2,086,033,712","220,456,426","1,582,234,484","787,491,224","249,427,911","225,650,130","1,436,140,855","341,038,911","112,130,363","694,200,409","192,694,889","41,777,607","162,760,318","13,892,873"
A016450,한세예스24홀딩스,12,2016,Annual,"2,239,987,018","260,657,303","1,714,081,761","989,584,043","343,045,659","308,535,619","1,740,589,243","439,818,817","42,115,056","850,323,360","210,266,235","84,300,553","86,086,440","16,970,982"
A016450,한세예스24홀딩스,12,2017,Annual,"2,462,296,817","260,322,395","1,807,937,994","1,072,800,025","333,215,771","288,000,171","1,693,645,040","575,917,761","60,402,393","819,459,365","172,961,779","95,788,828","78,441,061","25,104,124"
A016450,한세예스24홀딩스,12,2018,Annual,"2,521,499,429","269,106,886","1,883,506,213","1,075,291,990","401,129,760","303,122,911","1,678,316,387","581,512,342","-45,404,745","903,560,057","157,019,035","14,516,766","56,480,874","24,133,541"
A016450,한세예스24홀딩스,12,2019,Annual,"2,736,673,075","250,665,403","2,058,539,967","994,303,227","407,615,876","311,559,773","1,731,430,277","580,134,617","3,148,383","946,918,113","188,606,289","144,915,231","97,998,491","41,582,545"
A016450,한세예스24홀딩스,12,2020,Annual,"2,797,947,074","231,168,848","2,205,129,096","1,046,492,435","390,336,149","305,031,551","1,840,012,735","511,166,948","70,484,032","880,102,734","214,125,422","110,130,222","81,651,030","34,379,645"
A016450,한세예스24홀딩스,12,2021,Annual,"2,798,895,736","341,957,160","2,151,637,818","1,122,515,831","553,331,110","326,309,708","2,241,273,060","512,575,944","75,870,159","1,026,634,357","265,286,470","-67,749,930","134,681,975","34,373,533"
A016450,한세예스24홀딩스,12,2022,Annual,"3,322,113,534","264,246,830","2,605,657,381","1,110,802,443","465,507,955","342,896,671","2,036,963,741","523,587,297","49,481,514","1,055,290,549","150,155,683","221,140,252","192,868,856","32,098,044"
A025820,이구산업,12,2011,Annual,"270,888,704","48,692,947","257,813,598","148,916,803","94,738,652","153,084,020","313,854,138","5,256,758","1,178,991","142,426,142","47,680,717","-37,443,387","7,818,348","119,073"
A025820,이구산업,12,2012,Annual,"244,354,718","46,674,662","245,228,564","138,114,774","83,626,273","152,583,533","301,686,314","5,661,779","-8,345,673","154,271,901","31,155,030","8,130,092","-6,535,625","134,006"
A025820,이구산업,12,2013,Annual,"244,042,602","45,007,226","247,448,354","118,225,744","68,022,135","151,169,746","275,686,501","4,989,319","-9,727,249","140,214,577","28,690,741","3,181,508","-8,395,071","127,230"
A025820,이구산업,12,2014,Annual,"238,633,097","41,290,455","228,570,437","118,941,848","71,991,946","150,426,195","274,955,331","5,305,404","2,145,994","140,906,832","25,128,174","-1,107,591","4,757,256","123,980"
A025820,이구산업,12,2015,Annual,"210,562,137","32,493,041","214,020,667","96,906,264","59,469,115","147,097,648","249,720,598","5,532,578","-10,984,730","128,633,207","24,138,928","12,698,519","-8,991,108","119,892"
A025820,이구산업,12,2016,Annual,"197,534,880","40,838,462","182,513,143","135,200,934","72,485,326","124,682,506","261,856,780","5,068,281","4,499,790","147,199,149","13,671,999","8,341,953","9,953,456","78,439"
A025820,이구산업,12,2017,Annual,"229,269,979","44,790,637","208,907,154","143,055,538","95,353,802","125,385,839","269,797,349","6,121,628","11,247,919","141,897,594","17,485,621","-2,247,783","14,241,197","40,730"
