구분,Name,회계년
유가증권,아시아나항공,2015
유가증권,아시아나항공,2016
코스닥,아이톡시,2011
코스닥,아이톡시,2012
유가증권,알루코,2019
유가증권,알루코,2020
코스닥,알서포트,2015
코스닥,알서포트,2016
코스닥,알서포트,2017
코스닥,알파홀딩스,2016
코스닥,알파홀딩스,2017
코스닥,애머릿지,2018
코스닥,어울림 네트,2011
코스닥,어울림엘시스,2011
코스닥,어울림정보,2011
코스닥,에스디생명공학,2018
코스닥,에스디생명공학,2019
코스닥,에스에스알,2017
코스닥,에스에스알,2018
코스닥,에스에스알,2019
코스닥,에스에이치엔엘,2017
코스닥,에스에이치엔엘,2018
코스닥,에스에프씨,2016
코스닥,에스에프씨,2017
코스닥,에스에프씨,2018
유가증권,에스엘,2013
유가증권,에스엘,2014
유가증권,에스엘,2015
유가증권,에스엘,2016
유가증권,에스엘,2017
유가증권,에스엘,2018
코스닥,에스엠코어,2016
코스닥,에스유홀딩스,2013
코스닥,에스유홀딩스,2014
코스닥,에스유홀딩스,2017
코스닥,에스유홀딩스,2018
코스닥,에스유홀딩스,2019
코스닥,에스제이케이,2013
코스닥,에스제이케이,2014
유가증권,에어부산,2015
코스닥,에이디테크놀로지,2011
유가증권,에코바이브,2014
코스닥,에코바이오,2015
코스닥,에코바이오,2016
코스닥,에코바이오,2017
코스닥,엔케이바이오,2011
코스닥,엘아이에스,2012
코스닥,엘아이에스,2013
코스닥,엘아이에스,2014
코스닥,엘아이에스,2015
유가증권,엘앤에프,2011
유가증권,엘앤에프,2012
유가증권,엘앤에프,2013
유가증권,엘앤에프,2015
유가증권,엘앤에프,2014
코스닥,엘앤케이바이오,2017
코스닥,엘앤케이바이오,2018
코스닥,엘앤피아너스,2011
코스닥,엘엠에스,2011
코스닥,엘엠에스,2012
코스닥,엠젠솔루션,2011
코스닥,엠젠솔루션,2012
코스닥,엠젠솔루션,2013
코스닥,엠젠솔루션,2014
코스닥,엠젠솔루션,2015
코스닥,엠젠솔루션,2016
코스닥,엠젠솔루션,2017
유가증권,예스코홀딩스,2018
유가증권,예스코홀딩스,2019
코스닥,오리엔탈정공,2015
코스닥,오리엔탈정공,2016
코스닥,와이어블,2011
코스닥,와이어블,2012
코스닥,와이어블,2013
코스닥,와이어블,2014
코스닥,와이어블,2015
코스닥,와이어블,2016
코스닥,와이어블,2017
코스닥,와이오엠,2014
코스닥,와이오엠,2015
코스닥,와이오엠,2016
코스닥,우리기술,2015
코스닥,우리기술,2016
유가증권,웅진,2013
유가증권,웅진,2014
유가증권,웅진,2015
유가증권,웅진,2016
유가증권,웅진,2017
코스닥,위너지스,2015
코스닥,위너지스,2016
코스닥,위너지스,2017
코스닥,위니아,2015
코스닥,위니아,2016
코스닥,위니아,2017
코스닥,위니아,2018
코스닥,위닉스,2016
코스닥,위닉스,2017
코스닥,유네코,2014
코스닥,유네코,2015
코스닥,유네코,2016
코스닥,유네코,2017
코스닥,유네코,2018
코스닥,유네코,2019
코스닥,유에이블,2011
코스닥,유에이블,2012
코스닥,유일엔시스,2011
코스닥,유진기업,2014
코스닥,유진기업,2015
코스닥,유진기업,2016
코스닥,이노와이즈,2016
코스닥,이노와이즈,2017
코스닥,이니텍,2015
유가증권,이수화학,2011
유가증권,이수화학,2012
유가증권,이수화학,2013
유가증권,이수화학,2014
유가증권,이수화학,2015
유가증권,이수화학,2016
유가증권,이수화학,2017
코스닥,이엘케이,2015
코스닥,이엘케이,2016
코스닥,이엠앤아이,2017
코스닥,이엠앤아이,2018
코스닥,제낙스,2011
코스닥,제낙스,2012
코스닥,제낙스,2013
코스닥,제낙스,2014
코스닥,제낙스,2015
코스닥,제낙스,2016
코스닥,제낙스,2017
코스닥,제낙스,2018
코스닥,제낙스,2019
유가증권,조선내화,2012
유가증권,조선내화,2013
코스닥,지란지교시큐리티,2017
코스닥,지란지교시큐리티,2018
코스닥,지란지교시큐리티,2019
코스닥,지란지교시큐리티,2020
코스닥,지유온,2017
코스닥,지유온,2018
유가증권,참엔지니어링,2011
유가증권,참엔지니어링,2012
유가증권,참엔지니어링,2013
유가증권,참엔지니어링,2014
코스닥,참존글로벌,2018
코스닥,참존글로벌,2019
유가증권,청호ICT,2015
유가증권,청호ICT,2016
코스닥,카스,2011
코스닥,카스,2012
코스닥,카스,2013
코스닥,케스피온,2016
코스닥,케스피온,2017
코스닥,케스피온,2018
코스닥,케이바이오,2016
코스닥,케이바이오,2017
코스닥,케이바이오,2018
코스닥,케이바이오,2019
코스닥,코디,2015
코스닥,코디,2016
코스닥,코디,2017
유가증권,코스모신소재,2012
유가증권,코스모신소재,2013
유가증권,코스모신소재,2014
유가증권,코스모화학,2011
유가증권,코스모화학,2012
유가증권,코스모화학,2013
유가증권,코스모화학,2014
유가증권,코스모화학,2015
유가증권,코스모화학,2016
유가증권,코스모화학,2017
코스닥,퀀타피아,2018
코스닥,큐리어스,2011
코스닥,큐리어스,2012
코스닥,크레버스,2016
코스닥,크레버스,2017
코스닥,크레버스,2018
코스닥,트레이스,2016
코스닥,티에스넥스젠,2012
코스닥,티에스넥스젠,2013
유가증권,티웨이홀딩스,2011
코스닥,파이오링크,2011
코스닥,파이오링크,2012
코스닥,파이오링크,2013
코스닥,파이오링크,2014
코스닥,팬스타엔터프라이즈,2011
코스닥,팬스타엔터프라이즈,2012
코스닥,프로텍,2013
코스닥,프로텍,2014
코스닥,프로텍,2015
코스닥,프로텍,2016
코스닥,프로텍,2017
코스닥,프로텍,2018
코스닥,프로텍,2019
유가증권,한국항공우주,2011
유가증권,한국항공우주,2012
유가증권,한국항공우주,2013
유가증권,한국항공우주,2014
유가증권,한국항공우주,2015
유가증권,한국항공우주,2016
유가증권,한국항공우주,2017
코스닥,한솔아이원스,2013
코스닥,한솔아이원스,2014
코스닥,한솔아이원스,2015
코스닥,한솔아이원스,2016
코스닥,한솔아이원스,2017
코스닥,한솔아이원스,2018
코스닥,한솔아이원스,2019
코스닥,한솔아이원스,2020
코스닥,한솔아이원스,2021
유가증권,한솔홀딩스,2011
유가증권,한솔홀딩스,2012
유가증권,한솔홀딩스,2013
유가증권,한신공영,2011
유가증권,한신공영,2012
유가증권,한신공영,2013
유가증권,한전기술,2015
유가증권,한전기술,2016
유가증권,한전기술,2017
유가증권,한화오션,2011
유가증권,한화오션,2012
유가증권,한화오션,2013
유가증권,한화오션,2014
유가증권,한화오션,2015
유가증권,한화오션,2016
코스닥,행남사,2016
코스닥,행남사,2017
코스닥,헥토이노베이션,2016
코스닥,헥토이노베이션,2017
유가증권,현대건설,2013
유가증권,현대건설,2014
유가증권,현대건설,2015
유가증권,현대건설,2016
유가증권,현대약품,2013
유가증권,현대약품,2014
유가증권,현대약품,2015
유가증권,현대약품,2016
유가증권,현대약품,2017
유가증권,현대약품,2018
유가증권,현대약품,2019
유가증권,효성,2011
유가증권,효성,2012
유가증권,효성,2013
유가증권,효성,2014
유가증권,효성,2015
유가증권,효성,2016
코스닥,휴림로봇,2015
코스닥,휴림로봇,2017
코스닥,휴림로봇,2018
