Symbol,Name,회계년,매출총이익률(%),영업이익률(%),당기순이익률(%),자본금영업이익률(%),영업수익/영업비용(%),세전계속사업이익률(%),자본금세전계속사업이익률(%),자본금지배주주순이익률(%),매출액증가율(전년동기)(%),영업이익증가율(전년동기)(%),당기순이익증가율(전년동기)(%),총자본증가율(전년동기)(%),유형자산증가율(전년동기)(%),부채비율(%),유동비율(%),당좌비율(%),현금비율(%),유형자산구성비율(%),무형자산구성비율(%),판관비율(%),타인자본비율(%),총자산회전율(회),매출채권회전율(회),재고자산회전율(회),총부채회전율(회),총자본회전율(회),자본금회전율(회),현금흐름/총부채(%),현금흐름/영업수익(%),현금흐름/총자본(%),DSRI,GMI,AQI,SGI,DEPI,SGAI,LVGI,TATA,manipulate
A069730,DSR제강,2017,9.87,1.4,2.82,34.42,101.42,3.21,79.18,69.66,2.9,-67.66,-42.28,2.87,-3.5,50.77,138.57,90.16,3.39,31.59,0.0,8.48,33.68,0.92,8.3,5.98,2.74,1.38,24.66,23.06,8.43,11.67,0.0,1.3,1.05,1.03,0.14,1.01,1.0,-0.01,0.0
A069730,DSR제강,2019,9.23,2.72,3.53,72.27,102.79,4.24,112.84,93.85,3.36,-16.58,-8.53,4.2,-3.6,42.14,159.76,91.86,8.6,27.99,0.0,6.51,29.65,0.94,4.34,5.5,2.97,1.38,26.59,25.06,8.45,11.64,0.88,1.04,1.09,1.03,0.15,1.05,0.88,-0.05,0.0
A069730,DSR제강,2020,9.26,2.01,3.0,49.08,102.05,3.49,85.4,73.33,-7.98,-32.08,-21.87,3.1,-6.24,41.02,158.51,97.59,6.07,25.65,0.0,7.26,29.09,0.86,4.23,5.09,2.94,1.22,24.47,20.37,6.92,8.47,1.07,1.0,1.07,0.92,0.14,1.11,0.98,-0.04,0.0
A069730,DSR제강,2021,8.53,2.07,3.68,59.61,102.12,4.32,124.33,105.84,17.56,21.44,44.34,5.18,-4.38,57.12,148.5,86.92,15.17,20.93,0.0,6.46,36.36,0.92,4.39,4.93,2.8,1.38,28.77,18.45,6.59,9.09,1.09,1.09,0.88,1.18,0.12,0.89,1.25,0.07,0.0
A069730,DSR제강,2022,16.46,10.08,11.05,366.21,111.2,12.61,458.48,401.76,26.33,514.39,279.59,19.02,-5.13,41.67,176.93,111.79,7.29,18.51,0.0,6.38,29.42,1.04,4.61,5.36,3.19,1.55,36.35,41.51,13.02,20.23,0.9,0.52,1.14,1.26,0.11,0.99,0.81,0.02,0.0
A017940,E1,2012,4.37,1.45,1.06,284.3,101.47,1.39,273.25,208.92,2.33,-26.85,12.46,6.39,3.05,162.06,100.26,70.4,2.94,27.18,0.59,2.92,61.84,2.54,13.18,21.91,4.11,6.63,196.34,6.75,1.64,10.88,1.27,1.08,0.91,1.02,0.04,1.09,1.0,0.04,0.0
A017940,E1,2013,4.61,1.74,0.92,325.56,101.77,1.32,246.54,171.82,-4.88,14.51,-17.76,4.7,1.36,156.84,115.49,84.55,2.22,26.85,0.56,2.86,61.07,2.3,10.83,20.02,3.75,5.97,186.76,5.5,1.47,8.76,1.1,0.95,0.95,0.95,0.05,0.98,0.99,0.02,0.0
A017940,E1,2014,4.41,1.36,0.74,233.56,101.37,0.91,156.18,127.35,-7.71,-28.26,-25.89,2.9,4.25,139.71,111.51,83.2,5.51,29.14,0.57,3.05,58.28,2.14,11.2,21.43,3.59,5.31,172.36,4.61,1.28,6.83,0.8,1.05,1.16,0.92,0.04,1.07,0.95,-0.0,0.0
A017940,E1,2015,7.49,2.62,2.03,292.17,102.69,2.68,298.71,226.5,-35.34,25.09,77.86,5.94,-0.99,119.28,140.22,127.12,20.08,29.78,0.54,4.87,54.4,1.44,8.62,23.89,2.55,3.29,111.45,7.29,2.87,9.42,1.5,0.59,0.99,0.65,0.04,1.6,0.93,-0.03,0.0
A017940,E1,2016,7.41,1.88,1.53,188.88,101.92,2.01,202.32,154.1,-9.81,-35.35,-31.96,3.13,-3.16,136.43,131.81,109.52,12.54,25.93,0.45,5.53,57.7,1.25,7.59,23.77,2.22,2.84,100.52,5.25,2.37,6.72,1.2,1.01,0.89,0.9,0.04,1.14,1.06,-0.0,0.0
A017940,E1,2017,7.17,2.22,1.63,253.66,102.27,2.21,251.62,186.41,13.48,34.3,20.97,4.11,2.66,120.87,110.03,82.88,11.76,27.37,0.51,4.94,54.73,1.36,7.49,16.65,2.42,3.11,114.06,5.67,2.34,7.29,1.07,1.03,1.09,1.13,0.04,0.89,0.95,0.08,0.0
A017940,E1,2018,3.73,0.19,1.54,22.45,100.19,2.12,256.85,186.31,6.14,-91.15,-0.05,3.78,1.78,120.72,102.37,83.96,5.9,26.86,0.55,3.55,54.69,1.44,8.34,17.52,2.63,3.17,121.06,5.92,2.25,7.15,0.7,1.92,0.95,1.06,0.03,0.72,1.0,-0.06,0.0
A017940,E1,2019,6.69,2.97,0.39,361.39,103.06,1.75,212.39,47.32,0.52,1509.47,-74.6,0.29,-0.46,130.22,121.58,86.86,4.32,25.56,0.53,3.72,56.56,1.39,9.21,15.67,2.49,3.13,121.69,6.71,2.69,8.43,1.14,0.56,1.13,1.01,0.04,1.05,1.03,0.01,0.0
A017940,E1,2020,6.42,1.97,2.27,204.34,102.01,2.99,310.41,236.28,-14.63,-43.46,399.27,5.19,0.91,122.99,102.27,73.06,7.33,25.31,0.81,4.45,55.16,1.15,7.43,11.39,2.05,2.6,103.89,10.6,5.16,13.42,1.16,1.04,1.08,0.85,0.11,1.2,0.98,-0.03,0.0
A017940,E1,2021,3.31,-0.04,1.73,-4.93,99.96,2.02,278.78,238.46,32.81,-102.41,0.93,4.81,-1.88,125.11,117.64,85.2,4.12,23.47,0.74,3.34,55.58,1.47,8.95,14.1,2.65,3.29,137.98,10.13,3.82,12.56,0.92,1.94,0.89,1.33,0.11,0.75,1.01,-0.01,0.0
A017940,E1,2022,5.83,3.51,1.83,777.54,103.64,2.55,564.84,405.84,60.45,-5727.269750000001,70.19,8.81,-1.46,128.19,108.81,79.16,2.75,20.97,0.68,2.32,56.18,2.18,11.16,18.7,3.9,4.94,221.39,12.31,3.16,15.6,0.84,0.57,0.95,1.6,0.11,0.69,1.01,0.07,0.0
A383220,F&F,2022,70.44,32.42,23.87,6795.093500000028,147.96,32.69,8013.633000000005,6958.273000000001,49.34,42.19,44.11,55.74,0.98,45.15,126.72,72.44,18.62,5.1,1.86,38.03,31.1,1.35,9.45,8.15,3.6,2.15,421.75,92.37,25.69,55.2,0.77,1.01,0.93,1.49,0.22,1.02,0.69,0.13,0.0
A007700,F&F홀딩스,2012,56.72,3.45,3.35,89.8,103.57,4.15,107.89,87.27,-8.04,-65.73,-63.53,2.7,15.59,25.04,246.56,100.63,0.44,35.04,0.59,53.27,20.02,0.99,6.86,4.21,5.24,1.22,26.02,30.26,5.78,7.05,1.29,1.07,0.88,0.92,0.08,1.04,1.13,-0.01,0.0
A007700,F&F홀딩스,2013,59.17,3.23,3.73,93.1,103.34,4.57,131.77,107.62,10.84,3.68,23.31,4.05,15.63,57.97,185.31,74.57,0.1,30.82,0.56,55.94,36.7,0.92,5.81,3.79,3.13,1.31,28.84,18.17,5.81,7.6,1.28,0.96,1.04,1.11,0.06,1.05,1.83,0.06,0.0
A007700,F&F홀딩스,2014,60.17,3.99,4.47,156.15,104.16,5.59,218.64,174.89,35.61,67.72,62.51,6.64,12.79,72.16,224.74,75.66,0.29,29.91,0.41,56.17,41.91,1.02,6.41,3.51,2.58,1.68,39.11,17.14,6.65,11.19,0.81,0.98,0.8,1.36,0.05,1.0,1.14,0.1,0.0
